









Frequency of observations in the selected location(s).:
Number of taxa: 	518

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1877.0	1646.0	1662.0	2211.0	1477.0	1560.0	1522.0	1342.0	1778.0	1876.0	1975.0	2577.0	2373.0	2348.0	2264.0	2824.0	2765.0	2391.0	2822.0	2995.0	1769.0	1800.0	1702.0	1775.0	1331.0	1253.0	1224.0	1733.0	1404.0	1306.0	1273.0	2289.0	1792.0	1894.0	1703.0	1763.0	1699.0	1876.0	1771.0	2689.0	1923.0	1845.0	1482.0	2009.0	1556.0	1401.0	1601.0	2279.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0010017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046163	7.123E-4	0.0045942	7.855E-4	4.369E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011772	0.0	0.0	0.0	0.0	0.0	0.0020243	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0170485	0.0066829	0.0126354	0.0153777	0.0088016	0.0108974	0.0203679	0.0201192	0.0343082	0.0863539	0.0698734	0.0310438	0.0147493	0.0132027	0.0106007	0.0060198	0.0036166	0.0037641	0.0031892	0.0023372	0.0011306	5.556E-4	0.0	0.0	0.0015	0.0031923	0.002451	0.0023081	0.0064103	0.0068913	0.0062844	0.0083006	0.0094866	0.0084477	0.0076336	0.0107771	0.0135374	0.0287846	0.0231508	0.019338	0.024441	0.0168022	0.0236167	0.0308611	0.0179949	0.0385439	0.0306059	0.0175516	
Ross's Goose	0.0015	6.075E-4	6.017E-4	9.046E-4	6.77E-4	6.41E-4	0.0013141	0.0014903	0.0022497	0.0085288	0.0020253	0.0015522	4.214E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.672E-4	0.0	5.33E-4	0.0011293	0.0014875	0.0015601	5.42E-4	0.0020243	0.0014933	6.427E-4	7.138E-4	6.246E-4	0.0	
Snow x Ross's Goose (hybrid)	0.0	6.075E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.624E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.138E-4	0.0	4.388E-4	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0015	0.0	0.0	4.523E-4	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.513E-4	7.981E-4	0.0	0.0	0.0	7.657E-4	0.0015711	0.0013106	0.0011161	0.0015839	0.0	5.672E-4	5.886E-4	0.0010661	0.0	0.0022313	0.0020801	0.001626	0.0013495	0.0	0.0	0.0	6.246E-4	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.452E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
