









Frequency of observations in the selected location(s).:
Number of taxa: 	591

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6915.0	4799.0	5713.0	6389.0	4306.0	8870.0	12335.0	4865.0	4880.0	5895.0	6136.0	9011.0	7970.0	8316.0	7223.0	9223.0	10279.0	9914.0	7661.0	8936.0	5008.0	4059.0	4307.0	4479.0	4141.0	3931.0	3641.0	5191.0	3942.0	3983.0	3932.0	6061.0	4724.0	4420.0	4433.0	5325.0	4410.0	4694.0	4342.0	5686.0	3952.0	4259.0	3842.0	5402.0	3421.0	3577.0	4070.0	5197.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051917	0.0019709	4.644E-4	0.0013396	0.0	2.544E-4	0.0021972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.168E-4	9.73E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0120029	0.0152115	0.0085769	0.0051651	0.0018579	0.0015784	0.0018646	0.0088386	0.0053279	0.0098388	0.0497066	0.0882255	0.0400251	0.0114238	0.0062301	0.0082403	0.0042806	0.0050434	0.0014358	0.0038048	0.0015974	7.391E-4	6.965E-4	0.0015628	0.0019319	0.0025439	0.0038451	0.0044307	0.0093861	0.0020085	0.0033062	0.0036298	0.0027519	0.0027149	0.0033837	0.0024413	0.0088435	0.0085215	0.0071396	0.0131903	0.0156883	0.0166706	0.0252473	0.0246205	0.0315697	0.0394185	0.0248157	0.0348278	
Ross's Goose	0.0017354	8.335E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0034836	0.001866	0.0027705	0.0028854	0.0013802	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3E-4	0.0	0.0	9.023E-4	5.634E-4	0.0011338	0.0	2.303E-4	0.0029898	5.061E-4	0.0044611	0.0052056	0.0057386	0.0049693	0.0050321	0.0027027	0.0021166	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.519E-4	4.439E-4	1.255E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.796E-4	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	1.11E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.878E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.796E-4	0.0	1.924E-4	
Graylag Goose	0.0015907	0.0012503	0.0022755	7.826E-4	0.0011612	2.255E-4	8.107E-4	0.0032888	0.0018443	0.0022053	0.0024446	0.0019976	0.002133	0.0016835	0.0015229	0.0017348	0.0032104	0.0035304	9.137E-4	0.0010072	3.994E-4	2.464E-4	2.322E-4	2.233E-4	0.0	5.088E-4	5.493E-4	7.706E-4	0.0010147	7.532E-4	0.0012716	9.899E-4	0.0010584	0.0024887	0.0018046	5.634E-4	0.0024943	0.0012782	0.0025334	0.0012311	7.591E-4	0.0016436	2.603E-4	0.0018512	0.0014616	0.0011183	0.0017199	0.0019242	
Swan Goose	0.0	0.0	0.0	1.565E-4	0.0	0.0	0.0	0.0	2.049E-4	0.0	0.0	2.22E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	4.525E-4	2.256E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.603E-4	0.0	0.0	0.0	4.914E-4	1.924E-4	
Greater White-fronted Goose	0.0037599	0.0070848	0.0036758	7.826E-4	9.289E-4	2.255E-4	1.621E-4	4.111E-4	0.005123	0.0016964	0.0029335	0.0015537	3.764E-4	0.0	4.153E-4	3.253E-4	9.73E-5	0.0	0.0	8.953E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013605	0.0019173	0.0018425	0.001407	0.0017713	0.0049307	0.0039042	0.004813	0.0096463	0.0072687	0.0041769	0.0065422	
Pink-footed Goose	0.0020246	0.0012503	0.0014003	4.696E-4	6.967E-4	6.764E-4	0.0	0.0014388	0.0036885	6.785E-4	6.519E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.348E-4	0.0	1.851E-4	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	2.084E-4	3.501E-4	0.0	2.322E-4	0.0	0.0	0.0	0.0	3.393E-4	1.63E-4	3.329E-4	1.255E-4	7.215E-4	2.769E-4	2.168E-4	9.73E-5	0.0	2.611E-4	1.119E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.511E-4	0.0	0.0	2.117E-4	0.0	2.256E-4	0.0	4.535E-4	2.13E-4	4.606E-4	0.0	0.0	4.696E-4	2.603E-4	0.0012958	0.0014616	2.796E-4	0.0022113	7.697E-4	
