









Frequency of observations in the selected location(s).:
Number of taxa: 	472

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	627.0	524.0	458.0	715.0	519.0	498.0	632.0	505.0	527.0	609.0	758.0	1074.0	755.0	803.0	802.0	1038.0	1025.0	1078.0	950.0	1222.0	825.0	792.0	1102.0	648.0	600.0	516.0	534.0	634.0	539.0	629.0	601.0	864.0	706.0	648.0	657.0	910.0	635.0	612.0	655.0	902.0	796.0	692.0	655.0	859.0	654.0	555.0	664.0	854.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057283	0.009697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0191388	0.009542	0.0131004	0.0251748	0.017341	0.0060241	0.0142405	0.009901	0.0151803	0.0426929	0.0501319	0.0642458	0.0211921	0.014944	0.0099751	0.0086705	0.0029268	0.0018553	0.0021053	0.0065466	0.0012121	0.0063131	9.074E-4	0.0046296	0.0016667	0.003876	0.0037453	0.0	0.0	0.0015898	0.0015	0.0	0.0	0.0046296	0.0045662	0.0043956	0.0220472	0.0277778	0.0244275	0.0277162	0.0339196	0.0317919	0.0381679	0.0302678	0.0198777	0.0414414	0.0346386	0.0374707	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0018975	0.0	0.0013193	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015267	0.0011086	0.0	0.0015	0.0030534	0.0011641	0.0015	0.0	0.0	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0019268	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015291	0.0	0.0	0.0	
Greater White-fronted Goose	0.0047847	0.0057252	0.0021834	0.0041958	0.0019268	0.0060241	0.0015	0.0	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0011086	0.0015	0.0014451	0.0015	0.0015	0.0015291	0.0018018	0.001506	0.001171	
Domestic goose sp. (Domestic type)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015291	0.0	0.0	0.0	
Brant	0.0590112	0.0782443	0.0764192	0.0559441	0.0751445	0.0542169	0.0474684	0.0574257	0.0550285	0.0509031	0.0448549	0.0493482	0.0370861	0.0448319	0.053616	0.0491329	0.0302439	0.0510204	0.0484211	0.0229133	0.0084848	0.0075758	0.0090744	0.0092593	0.005	0.003876	0.0015	0.0015773	0.0037106	0.0015	0.0033278	0.0023148	0.0014164	0.0	0.0045662	0.0065934	0.0204724	0.0522876	0.0473282	0.059867	0.0540201	0.0433526	0.0580153	0.0570431	0.0550459	0.0558559	0.060241	0.0725995	
Barnacle Goose	0.0031898	0.0038168	0.0015	0.0015	0.0	0.0040161	0.0	0.0	0.0015	0.0	0.0	9.311E-4	0.0	0.0024907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Cackling Goose	0.0031898	0.0038168	0.0021834	0.0041958	0.0057803	0.0040161	0.0031646	0.0015	0.0015	0.001642	0.0013193	0.0018622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001634	0.0015267	0.0033259	0.0025126	0.0015	0.010687	0.0034924	0.0030581	0.0054054	0.0015	0.001171	
Canada Goose	0.2886762	0.2423664	0.2248908	0.1986014	0.238921	0.1767068	0.2341772	0.2118812	0.2239089	0.3825944	0.3641161	0.4301676	0.4225166	0.4321295	0.4214464	0.4065511	0.3687805	0.3311688	0.3189474	0.2512275	0.1842424	0.1717172	0.1016334	0.1280864	0.1183333	0.1414729	0.1779026	0.2018927	0.1985158	0.2146264	0.21797	0.2071759	0.2209632	0.2638889	0.2998478	0.3010989	0.384252	0.3856209	0.3450382	0.3780488	0.290201	0.2991329	0.329771	0.2991851	0.2675841	0.2540541	0.2725904	0.2763466	
Greater White-fronted x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.0829346	0.0591603	0.0676856	0.0587413	0.0520231	0.0481928	0.0474684	0.0554455	0.0815939	0.0656814	0.0488127	0.0456238	0.0437086	0.0547945	0.0598504	0.0520231	0.0458537	0.0380334	0.0421053	0.0351882	0.0315152	0.0176768	0.022686	0.0231481	0.02	0.0329457	0.0374532	0.0425868	0.0352505	0.0540541	0.063228	0.0601852	0.0694051	0.0540123	0.0684932	0.0505495	0.0598425	0.0653595	0.0534351	0.0521064	0.0653266	0.0592486	0.0687023	0.0640279	0.0626911	0.0774775	0.0753012	0.1124122	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015291	0.0	0.0	0.0	
Trumpeter Swan	0.0015	0.0	0.0021834	0.0015	0.0019268	0.0	0.0	0.0	0.0037951	0.0015	0.0015	9.311E-4	0.0013245	0.0015	0.0	9.634E-4	9.756E-4	0.0	0.0010526	8.183E-4	0.0	0.0	0.0015	0.0015	0.0	0.001938	0.0	0.0015773	0.0015	0.0015898	0.0033278	0.0011574	0.0014164	0.0030864	0.0	0.0010989	0.0015748	0.0015	0.0	0.0022173	0.0025126	0.0014451	0.0	0.0015	0.0	0.0	0.0	0.0023419	
Tundra Swan	0.0047847	0.0152672	0.0021834	0.0055944	0.0115607	0.002008	0.0079114	0.0059406	0.0094877	0.0229885	0.0329815	0.0195531	0.007947	0.0012453	0.0024938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0033259	0.0150754	0.0057803	0.0198473	0.024447	0.0076453	0.0234234	0.003012	0.0117096	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.311E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Whooper Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0018727	0.0015	0.0018553	0.0031797	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swan sp.	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012469	0.0	9.756E-4	0.0	0.0010526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
