









Frequency of observations in the selected location(s).:
Number of taxa: 	458

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	477.0	361.0	382.0	522.0	361.0	405.0	436.0	401.0	423.0	419.0	477.0	677.0	494.0	519.0	603.0	695.0	667.0	689.0	632.0	896.0	636.0	711.0	541.0	506.0	388.0	349.0	328.0	432.0	377.0	354.0	356.0	538.0	474.0	433.0	466.0	664.0	467.0	515.0	539.0	746.0	542.0	522.0	467.0	548.0	460.0	395.0	429.0	536.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0104822	0.0015	0.0078534	0.0076628	0.0027701	0.0074074	0.0183486	0.0124688	0.0260047	0.0334129	0.0628931	0.0472674	0.0182186	0.0211946	0.013267	0.0028777	0.0014993	0.0014514	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021097	0.0069284	0.0042918	0.0060241	0.012848	0.015534	0.0166976	0.0214477	0.0221402	0.0287356	0.0235546	0.020073	0.026087	0.0126582	0.025641	0.0205224	
Ross's Goose	0.0020964	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0023641	0.0023866	0.0020964	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0013405	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0020964	0.0015	0.0	0.0015	0.0	0.0024691	0.0	0.0024938	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021413	0.0	0.0015	0.0013405	0.0015	0.0019157	0.0	0.0015	0.0	0.0	0.0015	0.0015	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0013405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.067086	0.0581717	0.065445	0.0478927	0.0609418	0.0493827	0.0550459	0.0773067	0.0543735	0.0453461	0.0607966	0.0576071	0.048583	0.0597303	0.0613599	0.0532374	0.035982	0.0507983	0.0490506	0.0234375	0.0110063	0.0084388	0.0055453	0.0059289	0.0	0.0028653	0.0030488	0.0069444	0.0026525	0.0015	0.002809	0.0018587	0.0015	0.0015	0.0042918	0.003012	0.006424	0.0349515	0.0575139	0.0723861	0.0590406	0.0402299	0.0578158	0.0492701	0.0456522	0.0582278	0.0652681	0.0634328	
Barnacle Goose	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Cackling Goose	0.0015	0.0027701	0.0026178	0.0015	0.0	0.0	0.0022936	0.0015	0.0015	0.0	0.0015	0.0014771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0040214	0.0	0.0015	0.0021413	0.0018248	0.0043478	0.0	0.0	0.0018657	
