









Frequency of observations in the selected location(s).:
Number of taxa: 	725

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Greater White-fronted Goose	0.0032755	0.0042572	0.0071011	0.0048093	0.0020822	0.001908	0.0024631	0.0035837	0.0030691	0.0037151	0.0024907	6.943E-4	2.912E-4	1.23E-4	4.95E-5	5.36E-5	1.163E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69E-5	1.227E-4	5.687E-4	6.435E-4	0.0013352	0.0015546	0.0015279	0.0018687	0.0013782	0.0033608	0.0035444	0.0025492	0.0018302	0.0035591	
Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014737	2.372E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose	0.0	0.0021459	0.0017057	0.0010993	2.403E-4	3.469E-4	1.449E-4	7.1E-5	3.104E-4	0.0015	6.227E-4	4.21E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0018744	0.0012064	5.91E-5	0.0	0.001484	0.0	
Domestic goose sp. (Domestic type)	9.587E-4	0.0011768	0.0011487	0.0012916	0.0015216	7.227E-4	0.0012626	0.0012774	9.656E-4	9.211E-4	8.895E-4	0.0010099	0.0012442	8.361E-4	7.427E-4	0.0016782	0.0024749	0.0020157	0.0013959	9.622E-4	6.882E-4	7.746E-4	7.629E-4	8.816E-4	7.011E-4	7.588E-4	7.621E-4	9.625E-4	0.0013371	7.907E-4	7.01E-4	8.383E-4	0.0012273	8.851E-4	0.0010323	0.0010122	0.0012511	0.0013887	0.0010682	6.784E-4	0.0010856	0.0011568	7.718E-4	9.048E-4	9.452E-4	0.0010671	5.441E-4	8.025E-4	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83E-5	4.02E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0575735	0.0653814	0.0632136	0.0565021	0.052817	0.0416293	0.0365526	0.0516269	0.0487948	0.043015	0.0463158	0.0466442	0.0371419	0.0407712	0.0367134	0.0315652	0.0252139	0.0291043	0.0330113	0.0191721	0.0081954	0.0044216	0.0023978	0.0017937	0.0013242	0.0011382	0.0011655	0.0011798	6.916E-4	0.0010698	0.0015773	0.0014372	7.287E-4	0.0013084	7.374E-4	0.003006	0.0067862	0.0186628	0.0360127	0.0536759	0.0578586	0.0557508	0.0569491	0.0558835	0.0513941	0.0547783	0.0487238	0.0635054	
Snow Goose x Brant (hybrid)	7.99E-5	2.077E-4	2.437E-4	1.099E-4	4.0E-5	1.156E-4	1.035E-4	2.484E-4	1.379E-4	3.07E-5	2.97E-5	8.42E-5	0.0	2.46E-5	0.0	0.0015	1.66E-5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83E-5	8.04E-5	4.45E-5	5.51E-5	3.016E-4	1.181E-4	5.93E-5	1.484E-4	6.98E-5	
Barnacle Goose	6.657E-4	0.0012806	8.354E-4	4.672E-4	8.81E-4	3.18E-4	3.726E-4	2.839E-4	6.9E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.758E-4	3.23E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.275E-4	0.0	0.0	0.0	8.04E-5	1.335E-4	0.0011026	0.0016373	0.0011815	5.336E-4	3.957E-4	6.281E-4	
Cackling Goose	0.004314	0.0049841	0.0046992	0.0026932	0.0026429	0.0012431	0.0019042	0.0053224	0.0083106	0.0103469	0.0050704	0.0022722	5.03E-4	1.475E-4	1.238E-4	1.607E-4	3.32E-5	1.64E-5	0.0	1.089E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85E-5	6.636E-4	0.0013803	0.0024643	0.0026758	0.0040438	0.0055117	0.0049053	0.0046274	0.0069464	0.0066784	0.0056711	0.0057505	0.0031163	0.0031404	
Barnacle x Cackling Goose (hybrid)	7.99E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45E-5	3.07E-5	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83E-5	0.0	0.0	5.51E-5	7.325E-4	4.726E-4	0.0	0.0	1.396E-4	
