









Frequency of observations in the selected location(s).:
Number of taxa: 	624

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	11697.0	9327.0	9038.0	10759.0	8119.0	7818.0	16394.0	8469.0	8241.0	8956.0	9652.0	14915.0	10922.0	12551.0	12717.0	15945.0	19317.0	15134.0	15934.0	15771.0	8641.0	8619.0	7244.0	8962.0	6560.0	6450.0	5915.0	8913.0	6383.0	6422.0	6552.0	10216.0	7783.0	7725.0	8146.0	9844.0	8118.0	8136.0	8227.0	10537.0	7579.0	7730.0	7663.0	9246.0	6998.0	7200.0	7816.0	12151.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012552	3.17E-4	0.0052077	0.0019724	0.0071784	0.0093729	0.0025915	0.0018605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.862E-4	0.0	0.0	0.0	1.305E-4	0.0	0.0	0.0	0.0	0.0	
Emperor Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.571E-4	0.0	1.389E-4	0.0	0.0	
Snow Goose	0.0089767	0.0114721	0.0109538	0.0111535	0.0073901	0.0084421	0.0104916	0.0443972	0.0276665	0.0375167	0.0543929	0.0401609	0.0112617	0.0109951	0.0055831	0.0031358	0.0028472	0.0021805	0.0026986	0.0024729	0.0034718	0.0031326	0.0020707	7.811E-4	6.098E-4	0.0023256	0.0018597	0.0032537	0.0029767	0.00327	0.0021368	0.0046985	0.0012849	0.0019417	0.002578	0.0063998	0.0129342	0.0083579	0.0081439	0.0113884	0.0084444	0.0112549	0.0139632	0.0162232	0.0138611	0.0105556	0.0150972	0.012427	
Ross's Goose	0.0026503	0.0036453	0.0011064	6.506E-4	3.695E-4	0.001407	2.44E-4	0.0049593	0.0032763	0.0033497	7.252E-4	0.0021455	0.0011903	0.003665	0.0033027	0.0016306	0.0012424	0.0013215	0.0035773	6.34E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.016E-4	0.0	0.0015	2.431E-4	9.49E-5	1.319E-4	3.881E-4	0.0	2.163E-4	0.0	2.778E-4	0.0015	8.23E-5	
Snow x Ross's Goose (hybrid)	0.0	0.0	1.106E-4	0.0	0.0	0.0	0.0	0.0	1.213E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.279E-4	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.542E-4	0.0	2.233E-4	2.072E-4	1.341E-4	9.16E-5	0.0	7.86E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.294E-4	0.0	1.082E-4	0.0015	0.0	0.0	0.0	
Graylag Goose	2.565E-4	7.505E-4	0.0013277	2.788E-4	8.622E-4	3.837E-4	6.1E-4	1.181E-4	1.213E-4	6.699E-4	4.144E-4	2.682E-4	5.493E-4	7.171E-4	8.65E-4	0.0011289	0.0021743	0.0028413	0.0014435	4.439E-4	3.472E-4	0.0015	2.761E-4	5.579E-4	6.098E-4	4.651E-4	3.381E-4	0.0012342	6.267E-4	3.114E-4	3.053E-4	7.831E-4	6.424E-4	3.883E-4	4.91E-4	3.048E-4	3.695E-4	4.916E-4	3.647E-4	2.847E-4	2.639E-4	0.0	2.61E-4	3.245E-4	1.429E-4	0.0	1.279E-4	7.407E-4	
