









Frequency of observations in the selected location(s).:
Number of taxa: 	629

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	10015.0	8044.0	9069.0	10100.0	6478.0	6404.0	15854.0	8945.0	7158.0	6638.0	6970.0	12046.0	9443.0	11831.0	10688.0	15090.0	14535.0	13812.0	13271.0	12681.0	7545.0	7327.0	6594.0	7644.0	5808.0	5670.0	5317.0	7892.0	5331.0	5217.0	5455.0	8380.0	6558.0	6817.0	6730.0	8303.0	6985.0	6544.0	6907.0	8772.0	6525.0	6801.0	6369.0	8103.0	6324.0	6153.0	7139.0	9682.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.014E-4	0.0	0.0	0.0	0.0	0.0096808	0.0027548	0.0021164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0193709	0.0116857	0.0240379	0.0223762	0.0163631	0.0167083	0.0163996	0.0681945	0.0456832	0.0349503	0.0555237	0.0559522	0.0185322	0.0155524	0.0101984	0.0099404	0.0060544	0.0030408	0.0041444	0.0041006	0.0037111	0.003958	0.0025781	0.002224	0.0025826	0.0047619	0.0022569	0.0034212	0.0028137	0.0019168	0.0010999	0.0033413	7.624E-4	0.0011735	0.0019316	0.0083102	0.0156049	0.0116137	0.0086868	0.0100319	0.0095019	0.0154389	0.0157011	0.0161669	0.0120177	0.0206403	0.0187701	0.0116711	
Ross's Goose	0.0069895	0.0079562	0.0071673	0.0011881	0.0030874	0.0015615	3.785E-4	0.0050307	0.0029338	0.0015065	8.608E-4	0.0018263	8.472E-4	0.0038881	0.0039296	0.001723	0.0016512	0.001448	0.0042951	7.89E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.204E-4	0.0	0.0	1.448E-4	1.14E-4	0.0	0.0011763	3.14E-4	6.171E-4	0.0	0.0022753	1.401E-4	0.0016526	
Snow x Ross's Goose (hybrid)	0.0	0.0015	1.103E-4	9.9E-5	0.0	0.0	0.0	2.236E-4	1.397E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0015	0.0	0.0	1.544E-4	0.0	6.31E-5	3.354E-4	0.0	0.0	0.0	2.49E-4	1.059E-4	0.0	9.36E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.625E-4	0.0	0.0	
Graylag Goose	3.994E-4	9.945E-4	0.0013232	9.9E-5	4.631E-4	1.562E-4	6.308E-4	1.118E-4	4.191E-4	3.013E-4	5.739E-4	4.151E-4	4.236E-4	7.607E-4	0.0010292	0.0010603	0.001376	0.0018824	9.796E-4	5.52E-4	5.302E-4	2.73E-4	3.033E-4	9.158E-4	0.0012052	0.0010582	3.762E-4	0.0017739	9.379E-4	1.917E-4	7.333E-4	7.16E-4	6.099E-4	0.0010268	5.944E-4	2.409E-4	2.863E-4	4.584E-4	0.0	3.42E-4	0.0	0.0	1.57E-4	4.936E-4	6.325E-4	1.625E-4	4.202E-4	8.263E-4	
Swan Goose	0.0	0.0	2.205E-4	9.9E-5	1.544E-4	0.0	2.523E-4	1.118E-4	0.0	0.0	7.174E-4	0.0	3.177E-4	0.0	0.0	0.0	6.88E-5	0.0	0.0	0.0	1.325E-4	1.365E-4	0.0	0.0	3.444E-4	3.527E-4	0.0	0.0	0.0	1.917E-4	0.0	0.0	0.0	1.467E-4	0.0015	1.204E-4	0.0	0.0	0.0015	1.14E-4	0.0	0.0	1.57E-4	0.0	0.0	0.0	0.0	0.0	
Graylag x Swan Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	6.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.528E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.401E-4	0.0	
Greater White-fronted Goose	0.0011982	0.0026106	0.0030874	0.0031683	0.0021612	0.0034354	0.0015769	0.0061487	0.0029338	0.0018078	0.0032999	0.0022414	3.177E-4	1.69E-4	9.36E-5	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.486E-4	0.0	0.0030064	0.0012225	0.0024613	7.98E-4	4.598E-4	0.0045582	0.0020411	0.0064174	0.0037951	0.0022753	0.0021011	0.0018591	
Pink-footed Goose	0.0029955	0.0037295	0.003308	0.0020792	0.004168	0.0032792	0.0015138	3.354E-4	0.002375	0.0015	0.0	0.0	0.0	4.226E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613E-4	0.0	0.0	0.0	0.0	0.0	0.0010293	0.0	0.0	1.581E-4	0.0	0.0029416	0.0	
Domestic goose sp. (Domestic type)	0.0028957	0.0019891	0.0028669	0.0017822	0.0021612	0.00203	0.0024599	0.0027949	0.0016764	0.0028623	0.0015782	0.0023244	0.0024357	0.0021131	0.0010292	0.0029821	0.0026144	0.0026788	0.0021852	0.0011829	0.0013254	8.189E-4	0.0010616	0.0010466	8.609E-4	8.818E-4	0.0013165	0.0019007	0.0030013	0.0026835	0.0027498	0.0022673	0.0019823	0.0014669	0.0017831	0.0012044	0.0022906	0.0027506	0.0030404	0.002166	4.598E-4	0.0022056	0.0036112	0.0014809	0.0014231	0.0016252	0.0012607	9.296E-4	
Brant	0.0498253	0.0625311	0.0658286	0.0567327	0.0527941	0.0470019	0.032547	0.051649	0.0473596	0.0436879	0.0474892	0.054873	0.0474426	0.0502071	0.0455651	0.0414182	0.0341933	0.0340284	0.0399367	0.0240517	0.0160371	0.0057322	0.0013649	0.0017007	0.0030992	0.0010582	0.0018808	0.0017739	3.752E-4	5.75E-4	5.5E-4	2.387E-4	3.05E-4	4.401E-4	0.0010401	0.0093942	0.0153185	0.0433985	0.0707977	0.0707934	0.075249	0.0688134	0.0639033	0.0575096	0.056926	0.0549326	0.0560303	0.0598017	
Snow Goose x Brant (hybrid)	9.99E-5	0.0	0.0	2.97E-4	0.0	0.0	0.0	2.236E-4	0.0	0.0	1.435E-4	8.3E-5	0.0	8.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.202E-4	1.033E-4	
Barnacle Goose	0.0013979	0.002362	0.0011027	7.921E-4	0.0027786	4.685E-4	5.046E-4	0.0	0.0	0.0	1.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0019746	3.163E-4	4.876E-4	0.0	0.0	
Cackling Goose	0.0048927	0.0032322	0.0039696	0.0042574	0.0066379	0.0015615	0.0018923	0.0107323	0.0083822	0.0048207	0.0068867	0.0051469	7.413E-4	3.381E-4	4.678E-4	0.0	0.0	0.0	0.0	5.52E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003011	0.0048676	0.003209	0.0050673	0.0057	0.0064368	0.0116159	0.0100487	0.0082685	0.0088552	0.0058508	0.0054629	0.0039248	
Barnacle x Cackling Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.397E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011763	1.57E-4	0.0	1.581E-4	0.0	0.0	0.0	
Canada Goose	0.3037444	0.3181253	0.3282611	0.319901	0.2834208	0.2792005	0.2575375	0.5487982	0.456133	0.4329617	0.4546628	0.5305496	0.5100074	0.5106077	0.5004678	0.5067594	0.4520812	0.4241964	0.3887424	0.3562811	0.2899934	0.2335199	0.177889	0.1499215	0.1530647	0.1906526	0.2097047	0.2755955	0.2637404	0.2679701	0.2601283	0.2644391	0.2933821	0.2929441	0.3191679	0.3974467	0.4280601	0.4367359	0.4174026	0.378477	0.3834483	0.3428908	0.3743131	0.3517216	0.3491461	0.3253697	0.3108278	0.2799008	
Swan Goose x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	1.544E-4	3.123E-4	0.0	0.0	0.0	1.506E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.88E-5	0.0015	0.0	0.0	0.0	1.365E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.876E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.533E-4	0.0	0.0	0.0	1.581E-4	0.0	0.0	0.0	
Greater White-fronted x Canada Goose (hybrid)	0.0	0.0	2.205E-4	0.0	9.262E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.533E-4	4.411E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	9.99E-5	4.973E-4	0.0015	1.98E-4	3.087E-4	1.562E-4	0.0	1.118E-4	1.397E-4	0.0	0.0	0.0	2.118E-4	8.45E-5	0.0	1.325E-4	0.0	0.0015	0.0	0.0	1.325E-4	0.0	1.517E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.193E-4	0.0	0.0	1.486E-4	1.204E-4	0.0015	0.0	0.0	0.0	1.533E-4	4.411E-4	0.0	1.234E-4	3.163E-4	0.0	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	9.99E-5	1.243E-4	0.0	0.0	1.544E-4	0.0	0.0	0.0	0.0	0.0	1.435E-4	0.0	1.059E-4	2.536E-4	2.807E-4	1.325E-4	1.376E-4	0.0	7.54E-5	0.0	0.0	0.0	1.517E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	1.193E-4	0.0	0.0	2.972E-4	2.409E-4	1.432E-4	3.056E-4	1.448E-4	5.7E-4	0.0	1.47E-4	1.57E-4	4.936E-4	1.581E-4	3.25E-4	1.401E-4	0.0	
Snow x Canada Goose (hybrid)	9.99E-5	0.0	0.0	0.0	1.544E-4	0.0	0.0	0.0	9.779E-4	3.013E-4	1.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.863E-4	4.584E-4	1.448E-4	0.0	3.065E-4	1.47E-4	3.14E-4	1.234E-4	0.0	0.0	0.0015	0.0	
Cackling/Canada Goose	5.991E-4	2.486E-4	5.513E-4	7.921E-4	3.087E-4	3.123E-4	7.569E-4	0.0010061	8.382E-4	6.026E-4	7.174E-4	1.66E-4	0.0	8.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.486E-4	1.204E-4	0.0012885	6.112E-4	8.687E-4	6.84E-4	7.663E-4	7.352E-4	0.0010991	0.002098	9.488E-4	0.0011377	7.004E-4	8.263E-4	
Branta sp.	0.0	0.0	0.0	9.9E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.24E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	5.991E-4	3.729E-4	6.616E-4	5.941E-4	3.087E-4	3.123E-4	5.046E-4	0.0025713	4.191E-4	6.026E-4	8.608E-4	0.0010792	6.354E-4	6.762E-4	1.871E-4	6.627E-4	4.816E-4	2.172E-4	1.507E-4	4.731E-4	3.976E-4	1.365E-4	3.033E-4	2.616E-4	3.444E-4	3.527E-4	0.0	2.534E-4	1.876E-4	3.834E-4	5.5E-4	0.0	7.624E-4	2.934E-4	0.0	2.409E-4	0.0014316	6.112E-4	0.0018821	7.98E-4	0.0015326	8.822E-4	0.0012561	6.171E-4	3.163E-4	0.0011377	0.0011206	6.197E-4	
Mute Swan	0.0760859	0.0744654	0.0789503	0.0685149	0.071627	0.0605871	0.0530465	0.0761319	0.0648226	0.0674902	0.0797704	0.0762079	0.0719051	0.0797904	0.0665232	0.0664679	0.0604059	0.0482189	0.0437797	0.0401388	0.0372432	0.0350757	0.0323021	0.0363684	0.0383953	0.0386243	0.0342298	0.0459959	0.0450197	0.0465785	0.0491292	0.050358	0.0550473	0.0517823	0.058841	0.0568469	0.0687187	0.0620416	0.0741277	0.0636115	0.068659	0.0608734	0.0689276	0.0763915	0.0722644	0.0666342	0.0642947	0.062074	
