









Frequency of observations in the selected location(s).:
Number of taxa: 	449

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	150.0	111.0	99.0	137.0	124.0	120.0	114.0	121.0	147.0	163.0	187.0	306.0	239.0	224.0	275.0	307.0	326.0	294.0	256.0	319.0	232.0	239.0	214.0	281.0	201.0	148.0	173.0	178.0	165.0	188.0	170.0	239.0	202.0	180.0	157.0	247.0	205.0	212.0	188.0	211.0	181.0	151.0	131.0	232.0	190.0	149.0	125.0	195.0	

Snow Goose	0.02	0.018018	0.010101	0.0364964	0.0241935	0.0166667	0.0175439	0.0165289	0.0272109	0.0368098	0.0320856	0.0065359	0.0251046	0.0357143	0.0218182	0.019544	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063694	0.0080972	0.0536585	0.0424528	0.0265957	0.028436	0.0552486	0.0331126	0.0687023	0.012931	0.0105263	0.033557	0.016	0.0051282	
Ross's Goose	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0053191	0.0047393	0.0055249	0.0066225	0.0015	0.0015	0.0	0.0015	0.0	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0015	0.0080645	0.0	0.0	0.0015	0.0015	0.0015	0.0053476	0.0	0.0015	0.0044643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004878	0.004717	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0933333	0.0900901	0.1010101	0.1167883	0.1290323	0.1166667	0.1052632	0.1157025	0.122449	0.1226994	0.0641711	0.0751634	0.0585774	0.0714286	0.04	0.0456026	0.0398773	0.085034	0.0273438	0.0125392	0.0015	0.0041841	0.0015	0.0035587	0.0	0.0	0.0	0.011236	0.0	0.0	0.0235294	0.0	0.0	0.0055556	0.0	0.0161943	0.0731707	0.1084906	0.1117021	0.1516588	0.1381215	0.0927152	0.1450382	0.0646552	0.0684211	0.0939597	0.104	0.0564103	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0036364	0.0032573	0.0030675	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0052632	0.0	0.0	0.0015	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004717	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0015	0.0	
