









Frequency of observations in the selected location(s).:
Number of taxa: 	657

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	17395.0	12979.0	13123.0	16535.0	11008.0	20382.0	18049.0	13299.0	13394.0	16446.0	15446.0	22926.0	18612.0	18037.0	18421.0	25802.0	28151.0	30604.0	27099.0	26160.0	15603.0	14939.0	14080.0	15927.0	12729.0	11486.0	10941.0	15121.0	10369.0	9502.0	10747.0	15579.0	12346.0	12195.0	12723.0	14902.0	12369.0	13923.0	12418.0	16607.0	12119.0	11619.0	10476.0	13965.0	9930.0	9668.0	12400.0	16508.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.694E-4	0.0	0.0	0.0	0.0044402	0.0017366	0.0063488	0.0033754	0.0047358	0.007537	1.926E-4	0.0031589	0.002132	0.0011004	0.001275	8.08E-5	0.0	0.0	2.409E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Emperor Goose	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0174763	0.0154095	0.0195077	0.0184457	0.0117188	0.0065254	0.0096404	0.0209038	0.03076	0.0562447	0.0345721	0.0129983	0.007522	0.006653	0.0048857	0.0035656	0.0022379	0.0025487	0.001882	0.0022554	0.0021791	0.0018743	0.0015625	6.279E-4	7.07E-4	5.224E-4	5.484E-4	2.645E-4	0.0010609	0.0010524	6.513E-4	0.0025034	0.0031589	0.00246	0.0022007	0.0023487	0.0039615	0.0056022	0.0064423	0.0095743	0.0068487	0.0106722	0.0118366	0.014966	0.0177241	0.023583	0.0185484	0.0156288	
Ross's Goose	5.75E-5	7.7E-5	0.0	3.024E-4	9.08E-5	2.453E-4	0.0	0.0010527	0.0029118	0.0012769	0.0011654	1.309E-4	5.37E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.182E-4	1.611E-4	3.011E-4	5.776E-4	0.0045615	0.0029591	0.001647	3.021E-4	2.069E-4	4.839E-4	1.212E-4	
Snow x Ross's Goose (hybrid)	2.3E-4	0.0	7.62E-5	6.05E-5	0.0	0.0	0.0	0.0	0.0	0.0	6.47E-5	1.309E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.409E-4	8.25E-5	8.61E-5	0.0	0.0	0.0	0.0	2.419E-4	0.0	
Snow/Ross's Goose	5.75E-5	1.541E-4	7.62E-5	0.0	0.0	0.0	0.0	0.0	3.733E-4	6.08E-5	1.295E-4	4.36E-5	0.0	5.54E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.55E-5	7.16E-5	0.0	0.0	1.613E-4	6.06E-5	
Graylag Goose	3.449E-4	5.393E-4	4.572E-4	6.653E-4	3.634E-4	4.416E-4	7.757E-4	0.0010527	4.48E-4	4.864E-4	1.942E-4	4.362E-4	1.075E-4	1.663E-4	1.629E-4	7.364E-4	9.591E-4	5.882E-4	3.321E-4	2.294E-4	0.0015	2.678E-4	2.841E-4	1.884E-4	3.142E-4	8.71E-5	1.828E-4	5.291E-4	1.929E-4	1.052E-4	9.3E-5	0.0	2.43E-4	2.46E-4	2.358E-4	6.711E-4	2.425E-4	2.155E-4	1.611E-4	3.011E-4	2.475E-4	8.61E-5	9.55E-5	2.864E-4	7.049E-4	0.0	4.839E-4	1.817E-4	
Swan Goose	0.0	2.311E-4	0.0	6.05E-5	0.0	0.0	5.54E-5	0.0	7.47E-5	0.0	0.0	4.36E-5	1.075E-4	0.0	0.0	3.88E-5	0.0	3.27E-5	7.38E-5	0.0	0.0	0.0	0.0	6.28E-5	0.0	0.0015	9.14E-5	0.0	0.0	1.052E-4	0.0015	0.0	0.0	4.1E-4	0.0015	1.342E-4	0.0015	0.0	2.416E-4	1.806E-4	8.25E-5	8.61E-5	9.55E-5	7.16E-5	0.0	0.0	0.0	0.0	
