









Frequency of observations in the selected location(s).:
Number of taxa: 	544

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2731.0	2380.0	2641.0	3239.0	2039.0	2080.0	2215.0	1936.0	2497.0	2583.0	2723.0	3414.0	3213.0	3223.0	2850.0	4199.0	3917.0	3450.0	3369.0	3773.0	2115.0	2152.0	1958.0	2077.0	1647.0	1618.0	1548.0	2423.0	1712.0	1563.0	1661.0	2741.0	2146.0	2397.0	2316.0	2440.0	2319.0	2281.0	2163.0	3661.0	2293.0	2255.0	1923.0	2479.0	1864.0	1965.0	2128.0	3085.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0037106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033017	5.841E-4	0.0038388	6.02E-4	7.297E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015601	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0168436	0.0088235	0.0098448	0.0095709	0.007847	0.0076923	0.0090293	0.0170455	0.0360433	0.1010453	0.0650018	0.0210896	0.0127607	0.0117903	0.002807	0.003096	0.0017871	0.0017391	0.0026714	0.0050358	4.728E-4	4.647E-4	0.0020429	9.629E-4	0.0015	6.18E-4	0.001292	0.0016508	0.0017523	0.0044786	0.0054184	0.004378	0.0065238	0.0095953	0.0034542	0.0036885	0.0189737	0.0258658	0.0184928	0.0221251	0.0170083	0.0181818	0.0202808	0.0229931	0.0177039	0.0300254	0.0371241	0.0230146	
Ross's Goose	3.662E-4	0.0	0.0	3.087E-4	0.0	4.808E-4	4.515E-4	5.165E-4	0.0060072	0.0077429	0.001469	2.929E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	9.246E-4	0.0024583	4.361E-4	0.0013304	0.0036401	0.0032271	0.0032189	0.0010178	4.699E-4	6.483E-4	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2E-4	0.0	0.0	5.089E-4	0.0	3.241E-4	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.871E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	3.662E-4	0.0	7.573E-4	0.0012349	0.0015	4.808E-4	4.515E-4	5.165E-4	0.0	7.743E-4	3.672E-4	0.0	6.225E-4	0.0015	7.018E-4	2.382E-4	7.659E-4	5.797E-4	0.0	5.301E-4	9.456E-4	0.0	5.107E-4	0.0	6.072E-4	0.0	0.0	4.127E-4	0.0	0.0012796	0.0012041	0.0014593	0.0018639	0.0012516	0.0015	8.197E-4	0.0	8.768E-4	0.0	0.0024583	8.722E-4	0.0026608	0.0	0.0	0.0	0.0	0.0	3.241E-4	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.871E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0032955	0.0033613	0.0018932	0.0015437	0.0019617	9.615E-4	0.0031603	0.0010331	0.0084101	0.0019357	3.672E-4	0.0017575	3.112E-4	0.0	0.0	0.0	2.553E-4	2.899E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.624E-4	0.0052609	0.0023116	0.0062824	0.003925	0.0066519	0.0083203	0.0036305	0.0015	0.0015267	0.0032895	0.0032415	
Pink-footed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036401	4.034E-4	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.106E-4	5.797E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.648E-4	0.0	4.172E-4	0.0	0.0	0.0	0.0	0.0	2.731E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0501648	0.0554622	0.0715638	0.0666872	0.0613046	0.0514423	0.0609481	0.0738636	0.0580697	0.0483933	0.0488432	0.0439367	0.048864	0.0406454	0.0421053	0.0359609	0.0411029	0.0472464	0.0519442	0.0368407	0.0104019	0.008829	0.0051073	0.0028888	0.0054645	0.0018541	0.002584	0.0016508	0.0017523	0.0025592	0.0024082	0.002189	9.32E-4	0.0012516	0.0030225	0.0036885	0.0245796	0.0324419	0.049006	0.076755	0.075447	0.0665188	0.0676027	0.083098	0.069206	0.0610687	0.0596805	0.0486224	
Barnacle Goose	3.662E-4	0.0021008	0.0015146	9.262E-4	0.0	0.0	0.0	0.0	0.0024029	0.0	7.345E-4	5.858E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020169	0.0	0.0	0.0	0.0	
Cackling Goose	0.0047602	0.005042	0.0022719	0.0015437	0.0014713	9.615E-4	9.029E-4	0.0020661	0.0084101	0.0147116	0.0066104	0.003222	0.0012449	6.205E-4	3.509E-4	7.145E-4	5.106E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012953	8.197E-4	0.0043122	0.0056993	0.0055479	0.0071019	0.0052333	0.0039911	0.0083203	0.007261	0.0048283	0.0071247	0.0089286	0.0055105	
