









Frequency of observations in the selected location(s).:
Number of taxa: 	587

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	7022.0	5142.0	5153.0	5495.0	4171.0	5628.0	15367.0	4779.0	5081.0	5522.0	5231.0	7844.0	6407.0	7547.0	6539.0	7973.0	8345.0	8427.0	7082.0	7628.0	4390.0	3690.0	4165.0	4475.0	3324.0	3403.0	3145.0	4833.0	3599.0	3538.0	3628.0	5083.0	4335.0	3866.0	3876.0	5082.0	3783.0	4207.0	4046.0	5262.0	3497.0	3757.0	3206.0	4934.0	3455.0	3234.0	3459.0	5165.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.469E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0106807	0.0134189	0.009509	0.0069154	0.0069528	0.0046198	0.002603	0.0138104	0.0163354	0.0488953	0.0617473	0.0854156	0.0346496	0.0083477	0.0056584	0.0082779	0.0047933	0.0070013	0.0042361	0.005506	0.0031891	0.001897	0.0012005	0.0020112	0.0027076	0.0035263	0.0050874	0.0053797	0.0061128	0.0022612	0.0038589	0.0035412	0.0034602	0.003104	0.004128	0.0045258	0.0044938	0.0102211	0.0153238	0.0131129	0.0197312	0.0188981	0.0202745	0.031212	0.0347323	0.0352505	0.0274646	0.0211036	
Ross's Goose	0.0	0.0	0.0	0.0012739	0.004795	0.0	6.51E-5	0.0015	0.0049203	0.0041652	0.003441	0.0026772	7.804E-4	0.0	7.646E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.74E-4	1.968E-4	0.0018504	7.131E-4	4.943E-4	0.0030407	0.0031456	0.0069204	0.0059264	0.0046615	0.0049204	0.0040198	0.0026019	0.0023233	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.825E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.662E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.275E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.968E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.936E-4	
Graylag Goose	8.545E-4	9.724E-4	0.003105	7.279E-4	0.0011988	3.554E-4	3.904E-4	0.0012555	5.904E-4	3.622E-4	5.735E-4	3.825E-4	0.0017169	7.95E-4	9.176E-4	6.271E-4	9.587E-4	0.002492	7.06E-4	6.555E-4	4.556E-4	2.71E-4	4.802E-4	2.235E-4	0.0	5.877E-4	9.539E-4	6.207E-4	5.557E-4	0.0011306	5.513E-4	0.0013771	0.0025375	0.0028453	0.002322	5.903E-4	0.0018504	0.0014262	0.0017301	3.801E-4	0.0017158	0.0018632	6.238E-4	0.0014187	8.683E-4	3.092E-4	0.0011564	0.0011617	
Swan Goose	0.0	1.945E-4	1.941E-4	1.82E-4	0.0	1.777E-4	6.51E-5	0.0	1.968E-4	0.0	0.0	0.0	0.0	0.0	1.529E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.71E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.967E-4	2.307E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.119E-4	0.0	0.0	0.0	2.891E-4	0.0	
Greater White-fronted Goose	0.0012817	0.0027227	0.0021347	0.0020018	0.0014385	0.0015991	2.603E-4	4.185E-4	0.0055107	0.003803	0.0028675	0.0017848	3.122E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0010488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.968E-4	7.93E-4	4.754E-4	0.0014829	0.0036108	0.0037175	0.0034602	6.238E-4	0.0020268	0.0069465	0.0027829	0.0040474	0.0025169	
Pink-footed Goose	0.0	0.0	0.0013584	3.64E-4	0.0	3.554E-4	0.0	8.37E-4	0.0047235	7.244E-4	0.0028675	0.0012749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.662E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	1.945E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.275E-4	1.561E-4	2.65E-4	0.0	3.763E-4	4.793E-4	2.373E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.826E-4	0.0	0.0	2.307E-4	0.0	0.0	1.968E-4	2.643E-4	2.377E-4	2.472E-4	0.0	0.0	0.0	0.0	0.0	5.789E-4	0.0	0.0	3.872E-4	
Brant	0.0613785	0.0597044	0.0671454	0.0680619	0.0529849	0.0394456	0.0274614	0.0860013	0.0690809	0.0454545	0.0508507	0.0464049	0.0501015	0.0374983	0.0480196	0.0344914	0.0292391	0.0371425	0.0384072	0.0284478	0.0125285	0.0065041	0.0052821	0.0035754	6.017E-4	0.0023509	3.18E-4	8.276E-4	0.0022228	0.0025438	5.513E-4	7.869E-4	0.0023068	5.173E-4	7.74E-4	0.001771	0.0161248	0.0240076	0.0583292	0.0629038	0.0740635	0.0641469	0.0676856	0.0768139	0.0639653	0.0593692	0.071697	0.0631171	
Snow Goose x Brant (hybrid)	1.424E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.325E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.027E-4	0.0	0.0015	2.891E-4	0.0	
Barnacle Goose	0.0019937	0.0011669	0.0013584	0.0074613	0.0023975	1.777E-4	5.857E-4	4.185E-4	0.0013777	0.0	0.0	2.55E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08E-4	2.894E-4	0.0015461	0.0034692	0.0013553	
Cackling Goose	0.0034178	0.0031116	0.0034931	0.0023658	0.0031168	0.0014215	3.254E-4	0.0023017	0.006298	0.0124955	0.0110877	0.0110913	0.0035898	0.0011925	1.529E-4	1.254E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.74E-4	0.002558	0.0031721	0.0038032	0.0074147	0.0068415	0.0117243	0.0127762	0.0140362	0.0117552	0.0138929	0.0061843	0.0063602	0.0058083	
Brant x Cackling Goose (hybrid)	0.0	0.0	0.0	1.82E-4	2.398E-4	0.0	0.0	0.0	0.0	0.0	3.823E-4	1.275E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.270151	0.3008557	0.3205899	0.2607825	0.271158	0.1943852	0.1338583	0.3364721	0.3396969	0.4413256	0.4610973	0.5240948	0.5378492	0.4970187	0.4821838	0.4787408	0.4497304	0.4023971	0.3784242	0.3498951	0.309795	0.2124661	0.1702281	0.147486	0.1308664	0.1651484	0.1958665	0.2338092	0.2478466	0.2509893	0.2450386	0.25241	0.283737	0.3308329	0.3521672	0.4102715	0.4089347	0.4456858	0.4206624	0.4188521	0.4186446	0.4146926	0.3873986	0.4092015	0.4034732	0.3404453	0.3356461	0.3390126	
Swan Goose x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.254E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.967E-4	2.307E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
