









Frequency of observations in the selected location(s).:
Number of taxa: 	599

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	8101.0	5055.0	6309.0	7331.0	4557.0	11048.0	8443.0	5280.0	5216.0	6395.0	5900.0	9372.0	7711.0	8238.0	8661.0	11448.0	9979.0	11243.0	8760.0	9108.0	5117.0	4762.0	4461.0	4923.0	4559.0	3965.0	3753.0	5119.0	3956.0	3705.0	3886.0	6529.0	5253.0	4678.0	5171.0	5837.0	5170.0	5072.0	4607.0	6441.0	4917.0	4589.0	4205.0	5747.0	4173.0	4210.0	4697.0	6411.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018665	0.0050811	0.00168	4.483E-4	8.125E-4	0.0	0.0037831	0.0021316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.747E-4	1.002E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0383903	0.0324431	0.0277382	0.0162324	0.0241387	0.0038016	0.0098306	0.0297348	0.0358512	0.0387803	0.0413559	0.049936	0.0226949	0.0094683	0.0050802	0.0044549	0.0042088	0.0041804	0.0026256	0.0049407	0.0082079	0.0138597	0.0147949	0.0028438	0.0030708	0.0042875	0.0023981	0.0046884	0.0075834	0.0021592	0.003088	0.0012253	5.711E-4	4.275E-4	0.002514	0.0034264	0.0088975	0.0065063	0.006946	0.0102469	0.0115924	0.0132927	0.0195006	0.0174004	0.0215672	0.0337292	0.0317224	0.0335361	
Ross's Goose	0.0018516	0.0071217	6.34E-4	8.184E-4	0.0010972	0.0	0.0	1.894E-4	5.752E-4	0.0010946	6.78E-4	0.0017072	9.078E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.063E-4	0.0	0.0	7.735E-4	3.426E-4	0.0	1.972E-4	0.0010853	6.21E-4	2.034E-4	6.537E-4	7.134E-4	0.0029581	7.189E-4	0.0021378	0.0048967	0.0116986	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.475E-4	1.067E-4	1.297E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.375E-4	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	1.695E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.375E-4	0.0	0.0	
Graylag Goose	0.0013579	0.0015826	0.0011095	8.184E-4	0.0013167	2.715E-4	0.0011844	0.0034091	0.002684	0.0023456	0.0023729	0.0019206	0.0015562	0.0013353	0.001501	0.0023585	0.0046097	0.0034688	0.0017123	8.783E-4	1.954E-4	4.2E-4	6.725E-4	8.125E-4	2.193E-4	5.044E-4	2.665E-4	7.814E-4	0.0012639	2.699E-4	0.0018013	6.127E-4	0.0011422	2.138E-4	0.0017405	0.0020559	0.001354	7.886E-4	0.0021706	0.0021736	0.001627	0.002397	2.378E-4	8.7E-4	7.189E-4	0.0011876	8.516E-4	7.799E-4	
Swan Goose	0.0	0.0	0.0	0.0	0.0	1.81E-4	2.369E-4	0.0	0.0	0.0015	0.0	2.134E-4	1.297E-4	1.214E-4	0.0015	8.74E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	1.532E-4	0.0	6.413E-4	1.934E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.179E-4	2.378E-4	0.0	0.0	0.0	2.129E-4	1.56E-4	
