









Frequency of observations in the selected location(s).:
Number of taxa: 	497

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1007.0	738.0	717.0	1005.0	725.0	761.0	975.0	840.0	806.0	1004.0	989.0	1637.0	1041.0	1147.0	1169.0	1649.0	1512.0	1480.0	1313.0	1462.0	946.0	1004.0	1325.0	886.0	847.0	683.0	660.0	905.0	724.0	839.0	790.0	1167.0	991.0	844.0	856.0	1053.0	826.0	747.0	737.0	1014.0	860.0	783.0	735.0	1040.0	847.0	714.0	813.0	1164.0	

Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004788	0.0084567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0287984	0.0325203	0.0251046	0.0278607	0.0165517	0.0039422	0.0092308	0.0071429	0.0148883	0.0727092	0.0303337	0.0659743	0.024976	0.0113339	0.0085543	0.0060643	0.0019841	0.0027027	0.0022848	0.006156	0.0010571	0.0049801	0.0015094	0.003386	0.0023613	0.0029283	0.0030303	0.001105	0.0	0.0011919	0.0015	0.0	0.0	0.0023697	0.0035047	0.0047483	0.0157385	0.0281124	0.0339213	0.0364892	0.0430233	0.0319285	0.0394558	0.0384615	0.0212515	0.0420168	0.0258303	0.0309278	
Ross's Goose	9.93E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010111	0.0012217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013569	9.862E-4	0.0	0.0015	0.0027211	9.615E-4	0.0035419	0.0015	0.0	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0013793	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0023613	0.0	0.0	0.0	
Swan Goose	0.0	0.0	0.0013947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0029791	0.0054201	0.0013947	0.0039801	0.0013793	0.0039422	0.0015	0.0	0.0024814	0.001992	0.0015	0.0018326	0.0019212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.862E-4	0.0034884	0.0012771	0.0015	9.615E-4	0.0023613	0.0014006	0.00123	0.0017182	
Lesser White-fronted Goose	0.0	0.0	0.0013947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027211	0.0105769	0.0035419	0.0028011	0.0	0.0017182	
