









Frequency of observations in the selected location(s).:
Number of taxa: 	518

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1593.0	1214.0	1117.0	1593.0	1162.0	1014.0	1269.0	1174.0	1209.0	1309.0	1462.0	2274.0	1576.0	1674.0	1817.0	2410.0	2093.0	2028.0	2025.0	2443.0	1679.0	1549.0	1359.0	1470.0	1090.0	924.0	933.0	1181.0	1074.0	1058.0	1038.0	1762.0	1258.0	1204.0	1070.0	1304.0	1173.0	1230.0	1184.0	1503.0	1342.0	1290.0	1132.0	1691.0	1103.0	996.0	1015.0	1608.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014717	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0200879	0.0172982	0.0161146	0.0081607	0.0094664	0.0147929	0.0204886	0.0298126	0.057072	0.0763942	0.0670315	0.0664028	0.0329949	0.0227001	0.0181618	0.0099585	0.0076445	0.0034517	0.0034568	0.003684	0.0017868	0.0015	0.0	0.0	0.0	0.0032468	0.0021436	8.467E-4	0.0055866	0.0018904	0.0038536	0.0056754	0.0071542	0.0066445	0.0074766	0.0168712	0.0187553	0.0186992	0.0253378	0.0259481	0.0409836	0.024031	0.020318	0.0319338	0.0271985	0.0542169	0.0423645	0.02301	
Ross's Goose	0.0015	8.237E-4	8.953E-4	6.277E-4	8.606E-4	9.862E-4	0.001576	0.0017036	0.0041356	0.0068755	0.00342	0.0026385	0.001269	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.669E-4	8.525E-4	8.13E-4	8.446E-4	0.003992	0.0029806	0.0015504	0.0017668	0.0011827	0.0	0.0015	9.852E-4	0.0	
Snow x Ross's Goose (hybrid)	0.0	8.237E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0016543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.974E-4	0.0	0.0	0.0	0.0	4.938E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0010823	0.0	8.467E-4	0.0	9.452E-4	0.0	5.675E-4	7.949E-4	0.0	0.0	0.0	8.525E-4	8.13E-4	0.0	0.0	0.0014903	7.752E-4	0.0017668	0.0	0.0	0.0	9.852E-4	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017036	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0043942	0.0032949	0.003581	0.0031387	0.0043029	0.0029586	0.0039401	0.0	0.0033085	0.0015279	0.002052	8.795E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010823	0.0	8.467E-4	0.0	9.452E-4	0.0	0.0028377	0.0023847	0.0024917	0.0015	7.669E-4	0.0	0.0015	8.446E-4	0.003992	0.0014903	0.003876	0.0026502	0.0047309	0.0045331	0.003012	9.852E-4	0.0012438	
Pink-footed Goose	0.0069052	0.0016474	0.0015	0.0015	8.606E-4	0.0019724	0.0047281	0.0017036	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0023256	8.834E-4	0.0017741	0.0	0.0	0.0	0.0012438	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	4.149E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	
Brant	0.0621469	0.062603	0.0743062	0.0615191	0.0783133	0.0690335	0.0654058	0.0519591	0.0686518	0.0664629	0.0731874	0.0646438	0.0501269	0.0585424	0.0506329	0.040249	0.0406116	0.0616371	0.0459259	0.0376586	0.0148898	0.0096837	0.0095659	0.0068027	0.0100917	0.0097403	0.0085745	0.0101609	0.0065177	0.0066163	0.0067437	0.0119183	0.0055644	0.0033223	0.0037383	0.0069018	0.0238704	0.0430894	0.0836149	0.1197605	0.0864382	0.0782946	0.0909894	0.0756949	0.080689	0.0582329	0.0600985	0.0727612	
