









Frequency of observations in the selected location(s).:
Number of taxa: 	650

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	18514.0	14295.0	14302.0	18788.0	11993.0	21103.0	22790.0	13547.0	14549.0	16857.0	17253.0	22191.0	17649.0	19942.0	18691.0	27470.0	26936.0	30352.0	24805.0	25705.0	15417.0	14565.0	13080.0	16243.0	12886.0	11702.0	11201.0	16347.0	10425.0	10361.0	10808.0	15127.0	12116.0	12294.0	12312.0	15137.0	11907.0	14573.0	11159.0	15705.0	10867.0	9189.0	4943.0	6171.0	4959.0	4668.0	6228.0	8386.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.675E-4	9.726E-4	3.243E-4	0.0022657	1.529E-4	6.16E-5	0.0	0.0043582	0.0016963	0.0058726	0.0033573	0.0043432	0.0074944	1.983E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.273E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0178243	0.0186079	0.0202769	0.0170321	0.0069207	0.006255	0.0078543	0.0196353	0.0330607	0.0600937	0.0387759	0.0131134	0.0078191	0.0065691	0.0058852	0.003968	0.0041951	0.0029982	0.0027414	0.0028399	0.0020756	0.0020597	0.0012232	3.694E-4	6.208E-4	3.418E-4	7.142E-4	1.835E-4	0.001247	0.0012547	0.0014804	9.255E-4	0.0013206	0.0016268	0.0019493	0.0025104	0.0057949	0.004872	0.0059145	0.008405	0.00865	0.0113179	0.0145661	0.0179874	0.015124	0.0284919	0.0157354	0.0151443	
Ross's Goose	9.182E-4	0.0025883	0.0011886	2.661E-4	5.837E-4	0.0016111	0.0	7.38E-5	0.0034367	0.0014237	0.0013911	9.01E-5	4.533E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.745E-4	5.377E-4	6.367E-4	0.0011043	0.0055501	0.0060692	0.0016205	4.033E-4	2.142E-4	0.0	0.0015	
Snow x Ross's Goose (hybrid)	0.0	0.0	6.99E-5	0.0	0.0	0.0	0.0	0.0	0.0	1.186E-4	5.8E-5	1.352E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.37E-5	9.2E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	5.4E-5	1.399E-4	6.99E-5	5.32E-5	0.0	0.0	0.0	0.0	3.437E-4	5.93E-5	5.8E-5	0.0015	0.0	5.01E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	2.023E-4	1.62E-4	0.0	0.0	0.0	0.0	
Graylag Goose	3.781E-4	3.498E-4	3.496E-4	8.516E-4	2.501E-4	3.317E-4	2.633E-4	4.429E-4	3.437E-4	3.559E-4	3.478E-4	4.506E-4	1.7E-4	3.009E-4	1.605E-4	8.009E-4	7.796E-4	5.271E-4	6.45E-4	5.057E-4	0.0015	2.746E-4	3.823E-4	1.847E-4	3.104E-4	0.0	1.786E-4	4.894E-4	2.878E-4	9.65E-5	1.85E-4	0.0	8.25E-5	3.254E-4	2.437E-4	1.321E-4	0.0	1.372E-4	0.0015	4.457E-4	0.0	1.088E-4	2.023E-4	0.0	0.0010083	0.0	3.211E-4	1.192E-4	
Swan Goose	0.0	2.099E-4	0.0	5.32E-5	0.0	4.74E-5	4.39E-5	0.0	6.87E-5	5.93E-5	0.0	1.352E-4	1.133E-4	0.0015	0.0	3.64E-5	0.0	3.29E-5	4.03E-5	0.0	0.0	0.0	0.0	6.16E-5	0.0	0.0015	8.93E-5	0.0	0.0	9.65E-5	0.0015	0.0	0.0	3.254E-4	0.0	1.321E-4	0.0	0.0	1.792E-4	1.91E-4	9.2E-5	1.088E-4	2.023E-4	1.62E-4	0.0	0.0	0.0	0.0	
Graylag x Swan Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	4.74E-5	0.0	0.0	0.0	0.0	0.0	0.0	1.133E-4	0.0	0.0	3.64E-5	0.0	3.29E-5	4.03E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0051313	0.0044071	0.0106279	0.0043645	0.0025848	8.53E-4	0.0012286	8.858E-4	4.811E-4	0.0043305	0.0034197	9.01E-5	4.533E-4	2.507E-4	5.35E-5	1.092E-4	2.599E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.321E-4	0.0	7.548E-4	8.065E-4	0.0010825	0.0024846	0.0016324	0.0016185	0.0024307	0.0056463	0.003856	0.0032113	0.0026234	
Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028475	4.637E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose	0.0	0.0037775	0.0029367	0.0015435	8.34E-5	0.0	0.0	0.0	4.124E-4	0.0	0.0012172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040512	2.017E-4	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	2.701E-4	6.296E-4	8.39E-4	0.0014371	0.0015009	6.16E-4	0.0011409	8.858E-4	6.186E-4	6.525E-4	5.796E-4	6.309E-4	6.233E-4	5.516E-4	8.025E-4	0.0014925	0.0018934	0.0014167	0.0010885	7.392E-4	1.946E-4	6.179E-4	2.294E-4	8.003E-4	6.208E-4	7.691E-4	7.142E-4	4.282E-4	7.674E-4	4.826E-4	2.776E-4	7.272E-4	8.254E-4	8.947E-4	0.0010559	0.0011231	8.398E-4	0.0011665	8.961E-4	7.641E-4	0.0010122	0.0010883	6.069E-4	3.241E-4	4.033E-4	6.427E-4	1.606E-4	7.155E-4	
