









Frequency of observations in the selected location(s).:
Number of taxa: 	646

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	14306.0	10272.0	9784.0	12503.0	9652.0	9813.0	17640.0	10213.0	10550.0	12088.0	12823.0	18993.0	15363.0	14688.0	15633.0	20890.0	24438.0	23270.0	23324.0	22516.0	12697.0	12479.0	10921.0	12845.0	10083.0	9016.0	8174.0	11407.0	8458.0	8472.0	9024.0	13787.0	10694.0	10199.0	11068.0	12817.0	10455.0	11237.0	11021.0	14311.0	10505.0	10333.0	9574.0	12721.0	8364.0	8502.0	10113.0	14351.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86E-4	2.221E-4	0.0035441	0.0013623	0.0047615	7.785E-4	9.92E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0036469	0.0025493	0.0012649	0.0014824	9.56E-5	0.0	0.0	1.398E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bar-headed Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.629E-4	0.0	0.0	0.0	1.044E-4	0.0	0.0	0.0	0.0	0.0	
Emperor Goose	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.503E-4	0.0	1.176E-4	0.0	0.0	
Snow Goose	0.0136306	0.0156737	0.0182952	0.0128769	0.0105678	0.0107001	0.0093537	0.0265348	0.0336493	0.0458306	0.04102	0.0227979	0.0055979	0.0038126	0.0022389	0.0015797	0.0010639	8.165E-4	0.0010719	0.0011103	0.0015752	0.0010418	0.0011904	8.564E-4	4.959E-4	0.0011091	9.787E-4	0.0014026	0.0016552	0.0024788	0.0013298	0.0043519	0.0035534	0.0025493	0.0024395	0.0026527	0.0038259	0.0067634	0.0077125	0.0115995	0.0082818	0.0103552	0.0107583	0.0133637	0.0181731	0.0162315	0.0209631	0.0170023	
Ross's Goose	0.0	0.0	0.0	0.0	1.036E-4	8.152E-4	0.0	0.0017625	0.0032227	0.0033091	7.019E-4	0.001211	3.905E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.34E-4	1.815E-4	0.0	1.904E-4	2.903E-4	1.044E-4	0.0011792	1.196E-4	1.176E-4	5.933E-4	2.09E-4	
Snow x Ross's Goose (hybrid)	2.796E-4	0.0	0.0	8.0E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.096E-4	0.0	9.68E-5	0.0	0.0	0.0	0.0	3.955E-4	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.79E-5	4.739E-4	2.482E-4	3.119E-4	5.27E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.68E-5	0.0	7.86E-5	0.0015	0.0	1.978E-4	6.97E-5	
Graylag Goose	2.796E-4	6.815E-4	0.0010221	6.398E-4	8.288E-4	5.095E-4	8.503E-4	0.0013708	2.844E-4	7.445E-4	7.8E-5	2.106E-4	1.953E-4	4.085E-4	3.838E-4	0.0011967	0.0019642	0.0018479	9.432E-4	3.109E-4	7.88E-5	0.0015	9.16E-5	7.79E-5	1.984E-4	1.109E-4	1.223E-4	4.383E-4	2.365E-4	2.361E-4	0.0	2.176E-4	4.676E-4	1.961E-4	1.807E-4	7.022E-4	3.826E-4	3.56E-4	4.537E-4	2.096E-4	4.76E-4	0.0015	1.044E-4	3.931E-4	2.391E-4	0.0	3.955E-4	4.878E-4	
