









Frequency of observations in the selected location(s).:
Number of taxa: 	607

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	9837.0	6632.0	7853.0	9112.0	5784.0	8899.0	11778.0	7599.0	6357.0	6516.0	6248.0	10443.0	8346.0	9830.0	9328.0	13836.0	10574.0	13020.0	11174.0	10743.0	6323.0	6042.0	5469.0	6620.0	5486.0	4769.0	4491.0	6225.0	4592.0	4360.0	4385.0	7092.0	6170.0	5775.0	5815.0	6802.0	5844.0	5593.0	5226.0	7067.0	5715.0	5439.0	4757.0	6804.0	5159.0	4741.0	5719.0	7440.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015824	0.0	0.0	0.0	0.0	0.0	0.0029356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0392396	0.0263872	0.0402394	0.0258999	0.0312932	0.0120238	0.0161318	0.0539545	0.0495517	0.0500307	0.0492958	0.0457723	0.0119818	0.009766	0.0075043	0.0095403	0.0061472	0.0021505	0.0040272	0.005585	0.0074332	0.0124131	0.0135308	0.0040785	0.0047393	0.0075488	0.0035627	0.0049799	0.0037021	0.0020642	0.0027366	0.00141	9.724E-4	5.195E-4	0.0013758	0.0047045	0.0065024	0.0091185	0.0084194	0.0090562	0.0113736	0.0194889	0.0142947	0.0141093	0.0170576	0.0339591	0.0328729	0.0260753	
Ross's Goose	0.0042696	0.0093486	0.0075131	0.0012072	0.0038036	2.247E-4	1.698E-4	0.0010528	0.0022023	0.0021486	6.402E-4	0.0013406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.788E-4	9.568E-4	1.415E-4	0.0	0.0011031	6.306E-4	0.0020576	3.877E-4	0.0025311	0.0029725	0.0116935	
Snow x Ross's Goose (hybrid)	0.0	0.0015	0.0	1.097E-4	0.0	0.0	0.0	2.632E-4	0.0	0.0	1.601E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0015	0.0	0.0	1.729E-4	0.0	8.49E-5	1.316E-4	0.0	0.0	1.601E-4	9.58E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.109E-4	0.0	0.0	
Graylag Goose	5.083E-4	0.0013571	0.0012734	4.39E-4	6.916E-4	2.247E-4	4.245E-4	7.896E-4	0.0012585	3.069E-4	0.0	3.83E-4	1.198E-4	7.121E-4	9.648E-4	0.0015901	0.002648	0.0029186	0.0017899	9.308E-4	4.745E-4	4.965E-4	5.485E-4	0.0010574	9.114E-4	0.0010484	4.453E-4	0.0012851	0.0013066	4.587E-4	9.122E-4	7.05E-4	0.0011345	6.926E-4	0.0012038	0.0014702	0.0	5.364E-4	1.914E-4	0.001415	8.749E-4	0.0011031	2.102E-4	5.879E-4	5.815E-4	6.328E-4	3.497E-4	6.72E-4	
Swan Goose	0.0	0.0	0.0	1.097E-4	0.0	2.247E-4	4.245E-4	0.0	0.0	0.0015	4.802E-4	0.0015	3.595E-4	1.017E-4	0.0	7.23E-5	9.46E-5	0.0	0.0	0.0	0.0	1.655E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.294E-4	0.0015	1.41E-4	0.0	3.463E-4	0.0	1.47E-4	0.0	0.0	0.0	0.0	0.0	1.839E-4	4.204E-4	0.0	0.0	0.0	0.0	0.0	
Graylag x Swan Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.749E-4	0.0	
