









Frequency of observations in the selected location(s).:
Number of taxa: 	512

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1365.0	943.0	966.0	1287.0	871.0	832.0	1190.0	1084.0	1040.0	1169.0	1084.0	2092.0	1312.0	1304.0	1457.0	1860.0	1804.0	1680.0	1563.0	1899.0	1298.0	1207.0	1170.0	1101.0	882.0	722.0	707.0	1015.0	839.0	875.0	900.0	1302.0	1037.0	925.0	929.0	1105.0	935.0	862.0	882.0	1060.0	896.0	916.0	848.0	1257.0	923.0	845.0	753.0	1292.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017094	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0241758	0.038176	0.0238095	0.013986	0.0149254	0.0060096	0.0084034	0.0119926	0.0307692	0.0658683	0.0415129	0.0726577	0.0297256	0.0184049	0.0102951	0.0075269	0.0038803	0.0029762	0.003199	0.002633	7.704E-4	0.0	8.547E-4	0.0	0.0011338	0.0	0.0	9.852E-4	0.0	0.0	0.0044444	7.68E-4	9.643E-4	0.0086486	0.0043057	0.0081448	0.0171123	0.0232019	0.037415	0.0386792	0.0535714	0.0327511	0.0247642	0.0294352	0.0314193	0.0461538	0.0252324	0.0247678	
Ross's Goose	7.326E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	9.615E-4	0.0017109	0.001845	0.001912	7.622E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010695	0.0015	0.0011338	0.004717	0.0022321	0.0010917	0.0011792	0.0	0.0032503	0.0015	0.0	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.615E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.225E-4	0.0	0.0	0.0	0.0	0.0	7.669E-4	0.0	0.0	0.0	0.0	6.398E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.852E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0010834	0.0	0.0	0.0	
Swan Goose	0.0	0.0	0.0010352	0.0	0.0	0.0	0.0	9.225E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0021978	0.0053022	0.0020704	0.003108	0.0022962	0.0024038	0.0033613	0.0	0.0048077	0.0034217	9.225E-4	0.0023901	0.0015244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001385	0.0	9.852E-4	0.0	0.0011429	0.0	0.0038402	0.002893	0.0032432	0.0015	0.0	0.0	0.0015	0.0011338	0.0066038	0.0044643	0.0054585	0.0011792	0.0047733	0.0065005	0.0035503	0.001328	7.74E-4	
Lesser White-fronted Goose	0.0	0.0	0.0010352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
