









Frequency of observations in the selected location(s).:
Number of taxa: 	449

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	189.0	153.0	117.0	205.0	150.0	152.0	171.0	118.0	135.0	227.0	188.0	274.0	260.0	286.0	249.0	248.0	310.0	265.0	375.0	294.0	296.0	346.0	274.0	303.0	229.0	181.0	173.0	228.0	200.0	207.0	196.0	310.0	275.0	194.0	173.0	234.0	232.0	218.0	196.0	300.0	209.0	245.0	173.0	330.0	246.0	193.0	176.0	271.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.015873	0.0326797	0.0015	0.0097561	0.0133333	0.0197368	0.005848	0.0169492	0.0296296	0.0220264	0.0265957	0.0218978	0.0192308	0.0174825	0.0040161	0.0015	0.0015	0.0	0.0026667	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036364	0.0	0.0	0.008547	0.0258621	0.0412844	0.0255102	0.03	0.0334928	0.0367347	0.0404624	0.0212121	0.004065	0.0103627	0.0170455	0.00369	
Ross's Goose	0.0	0.0065359	0.0	0.0	0.0	0.0	0.0	0.0	0.0074074	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0081633	0.0015	0.0	0.0	0.0015	0.0	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.005291	0.0065359	0.008547	0.0	0.0	0.0065789	0.0	0.0015	0.0015	0.0015	0.0053191	0.0	0.0015	0.0034965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043103	0.0	0.005102	0.0	0.0015	0.0040816	0.0015	0.0015	0.0015	0.0015	0.0056818	0.0015	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0846561	0.0588235	0.0940171	0.0926829	0.1	0.1184211	0.0877193	0.1016949	0.1185185	0.0748899	0.0744681	0.0620438	0.0576923	0.0664336	0.0441767	0.0645161	0.0387097	0.0679245	0.048	0.0204082	0.0033784	0.0057803	0.0015	0.0015	0.0	0.0	0.0115607	0.0131579	0.0	0.0015	0.0015	0.0096774	0.0	0.0	0.0115607	0.0213675	0.0732759	0.0825688	0.1326531	0.0933333	0.1004785	0.0816327	0.0751445	0.0545455	0.0487805	0.0673575	0.0681818	0.0553506	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0032258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.004065	0.0	0.0	0.0015	
