









Frequency of observations in the selected location(s).:
Number of taxa: 	580

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4187.0	3083.0	3283.0	4259.0	2879.0	2654.0	3028.0	2936.0	3233.0	3451.0	3774.0	4780.0	3888.0	3960.0	3980.0	5681.0	5587.0	4943.0	3887.0	4414.0	2787.0	2767.0	2423.0	2651.0	2213.0	2181.0	2003.0	3019.0	2073.0	2066.0	2329.0	3631.0	2946.0	2866.0	2936.0	3541.0	3061.0	3016.0	2769.0	4588.0	3027.0	2882.0	2799.0	3326.0	2372.0	2597.0	2885.0	4115.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024921	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0026499	0.0	0.0	0.0	2.754E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0348698	0.017191	0.0140116	0.012679	0.0197985	0.0158252	0.0221268	0.0412125	0.0671203	0.0843234	0.0405405	0.0246862	0.0146605	0.010101	0.0045226	0.0022883	0.0021478	0.0016185	0.0048881	0.0054372	0.0014352	3.614E-4	0.0024763	0.0030177	4.519E-4	0.001834	0.0014978	6.625E-4	4.824E-4	9.681E-4	0.0017175	5.508E-4	0.0016972	0.0027913	0.0010218	0.0045185	0.0169879	0.0142573	0.0130011	0.0248474	0.0155269	0.0142262	0.0128617	0.0192423	0.0539629	0.045052	0.0440208	0.0272175	
Ross's Goose	4.777E-4	0.0	0.0	0.0015	0.0	3.768E-4	3.303E-4	0.0013624	0.0052583	0.0043466	0.0010599	2.092E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.005231	0.0016518	0.0013879	0.0028582	0.0024053	0.0037943	0.0015402	6.932E-4	4.86E-4	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.573E-4	3.007E-4	4.216E-4	0.0	0.0	0.0	
Graylag Goose	2.388E-4	0.0	9.138E-4	7.044E-4	3.473E-4	0.0011304	3.303E-4	3.406E-4	6.186E-4	5.795E-4	2.65E-4	6.276E-4	5.144E-4	2.525E-4	7.538E-4	7.041E-4	7.159E-4	4.046E-4	0.0	6.797E-4	7.176E-4	0.0	4.127E-4	0.0	4.519E-4	0.0	0.0	3.312E-4	4.824E-4	0.0019361	4.294E-4	0.0011016	0.0013578	0.0	3.406E-4	2.824E-4	3.267E-4	6.631E-4	7.223E-4	0.0010898	0.0019822	0.0017349	0.0010718	3.007E-4	8.432E-4	3.851E-4	6.932E-4	2.43E-4	
Swan Goose	0.0	0.0	3.046E-4	0.0	0.0	7.536E-4	3.303E-4	0.0	3.093E-4	2.898E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.772E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47E-4	0.0015	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0026272	0.0029192	0.0027414	0.0016436	0.0034734	0.0015072	0.0019815	0.0023842	0.0061862	0.0020284	0.0015	0.0014644	5.144E-4	0.0015	0.0	0.0	5.37E-4	2.023E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.294E-4	0.0	0.0	0.0	0.0	0.0015	6.534E-4	0.0036472	0.0046948	0.0045772	0.0023125	0.0055517	0.0071454	0.0039086	8.432E-4	0.0019253	0.0031196	0.0034022	
Pink-footed Goose	0.0015	0.0	0.0	2.348E-4	0.0	0.0	3.303E-4	0.0013624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025009	3.007E-4	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.184E-4	0.0	2.525E-4	7.538E-4	3.521E-4	5.37E-4	6.069E-4	2.573E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.489E-4	0.0	0.0	0.0	0.0	0.0	2.18E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0609028	0.0551411	0.0517819	0.0568208	0.0569642	0.0493595	0.0657199	0.0647139	0.0457779	0.0452043	0.0466349	0.0441423	0.0475823	0.0457071	0.0449749	0.034853	0.0345445	0.039652	0.0370466	0.0256004	0.0068174	0.0057824	0.0045398	0.0018861	0.0040669	0.0022925	0.003994	0.0059622	0.0096479	0.0062924	0.0085874	0.0057835	0.0020367	0.0017446	0.001703	0.0028241	0.0235217	0.0484085	0.0552546	0.103313	0.0891972	0.0582929	0.0614505	0.0706554	0.0767285	0.0654601	0.0738302	0.0704739	
Snow Goose x Brant (hybrid)	2.388E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.216E-4	0.0	0.0	0.0	
Barnacle Goose	2.388E-4	0.0061628	0.0018276	7.044E-4	3.473E-4	0.0	0.0	0.0	0.0024745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005231	0.0	0.0027759	0.0010718	0.0051112	0.0075885	0.0026954	0.0062392	0.0026731	
Cackling Goose	0.0059709	0.004541	0.0021322	0.0037568	0.0027787	0.0015072	0.0016513	0.0064714	0.0136097	0.0089829	0.0026497	0.0018828	0.0010288	2.525E-4	0.0	3.521E-4	3.58E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.406E-4	0.0	0.0039203	0.0039788	0.0083062	0.0085004	0.008259	0.0069396	0.0078599	0.0078172	0.0118044	0.0103966	0.012825	0.0075334	
Canada Goose	0.3422498	0.3074927	0.2656107	0.2841042	0.3101771	0.2784476	0.3348745	0.3964578	0.4404578	0.5265141	0.4830419	0.4476987	0.4747942	0.4525253	0.4429648	0.4302059	0.4302846	0.3882258	0.3570877	0.347304	0.2587011	0.190459	0.1626083	0.1591852	0.1753276	0.1746905	0.2196705	0.2719444	0.2686927	0.2899322	0.278231	0.2561278	0.2797013	0.3182135	0.3405995	0.35329	0.4011761	0.4084881	0.3954496	0.4311247	0.3947803	0.3462873	0.3529832	0.3758268	0.3937605	0.3850597	0.3767764	0.3582017	
Swan Goose x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.267E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.267E-4	0.0	0.0	4.359E-4	0.0	0.0	7.145E-4	0.0	0.0	3.851E-4	0.0	0.0	
Domestic goose sp. x Canada Goose (hybrid)	0.0	3.244E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
