









Frequency of observations in the selected location(s).:
Number of taxa: 	454

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	382.0	326.0	289.0	407.0	299.0	342.0	370.0	353.0	376.0	372.0	434.0	540.0	396.0	479.0	529.0	630.0	541.0	585.0	540.0	660.0	529.0	534.0	406.0	556.0	370.0	328.0	280.0	372.0	325.0	297.0	302.0	535.0	472.0	378.0	406.0	441.0	368.0	464.0	349.0	547.0	406.0	413.0	317.0	443.0	324.0	283.0	303.0	392.0	

Snow Goose	0.0104712	0.0030675	0.0034602	0.007371	0.0033445	0.005848	0.0135135	0.0141643	0.0319149	0.0403226	0.0714286	0.0351852	0.0126263	0.0167015	0.0094518	0.0	0.0036969	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021186	0.005291	0.0049261	0.0136054	0.0326087	0.0193966	0.0143266	0.0164534	0.0172414	0.0217918	0.0252366	0.0248307	0.0185185	0.0106007	0.0231023	0.0127551	
Ross's Goose	0.0026178	0.006135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026882	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018282	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Greater White-fronted Goose	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0028329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027174	0.0	0.0015	0.0015	0.0	0.0048426	0.0	0.0015	0.0015	0.0	0.0015	0.0015	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0018282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0680628	0.0398773	0.0449827	0.0614251	0.0535117	0.0438596	0.0621622	0.0878187	0.0691489	0.061828	0.0645161	0.0685185	0.0732323	0.0688935	0.0623819	0.047619	0.0462107	0.0564103	0.0648148	0.0530303	0.0170132	0.011236	0.0024631	0.0015	0.0015	0.0060976	0.0035714	0.0080645	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0217391	0.0387931	0.0974212	0.0895795	0.0788177	0.0774818	0.0820189	0.0880361	0.0524691	0.0706714	0.0924092	0.0841837	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024631	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0018282	0.0015	0.0015	0.0015	0.0015	0.0030864	0.0	0.0	0.002551	
Barnacle x Cackling Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Canada Goose	0.2853403	0.2239264	0.1591696	0.1547912	0.1471572	0.1812865	0.1891892	0.1954674	0.3723404	0.3629032	0.3548387	0.3685185	0.3787879	0.3799582	0.3516068	0.368254	0.3548983	0.3162393	0.262963	0.2848485	0.1909263	0.1685393	0.1231527	0.1366906	0.1567568	0.1402439	0.1607143	0.2016129	0.2338462	0.1750842	0.1887417	0.1719626	0.184322	0.2195767	0.2857143	0.2675737	0.361413	0.2866379	0.3352436	0.308958	0.3275862	0.2857143	0.2776025	0.2799097	0.2253086	0.2190813	0.2508251	0.2857143	
Graylag x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0033003	0.0	
Mute Swan	0.0890052	0.0521472	0.0553633	0.02457	0.0434783	0.0526316	0.0648649	0.0651558	0.0797872	0.0456989	0.0760369	0.0722222	0.0530303	0.0647182	0.0680529	0.0777778	0.0443623	0.0683761	0.037037	0.05	0.0396975	0.0131086	0.0197044	0.0215827	0.0297297	0.0182927	0.025	0.0349462	0.0584615	0.047138	0.0331126	0.0485981	0.0381356	0.0502646	0.0320197	0.0453515	0.0543478	0.0452586	0.0601719	0.0511883	0.044335	0.0411622	0.0473186	0.0474041	0.0524691	0.0530035	0.0693069	0.0816327	
Black Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033113	0.0	0.0042373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.0015	0.0034602	0.0015	0.0	0.0015	0.0027027	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0036969	0.0017094	0.0018519	0.0015152	0.0018904	0.0	0.0	0.0	0.0027027	0.0	0.0	0.0	0.0	0.0015	0.0	0.0018692	0.0021186	0.0026455	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	
Tundra Swan	0.0209424	0.0306748	0.0207612	0.004914	0.0100334	0.0116959	0.0108108	0.0084986	0.0212766	0.0268817	0.0230415	0.0148148	0.0025253	0.0020877	0.0018904	0.0015873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021552	0.0	0.0015	0.0049261	0.0121065	0.0063091	0.0158014	0.0015	0.0015	0.0066007	0.005102	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Whooper Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swan sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
South African Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020877	0.0056711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0078534	0.0092025	0.0034602	0.004914	0.006689	0.005848	0.0135135	0.0056657	0.0345745	0.0322581	0.0576037	0.062963	0.0858586	0.085595	0.1058601	0.0746032	0.0702403	0.0581197	0.0574074	0.0545455	0.0359168	0.0355805	0.0197044	0.0377698	0.0405405	0.0396341	0.0321429	0.0483871	0.0738462	0.047138	0.0629139	0.0598131	0.0550847	0.031746	0.0640394	0.0634921	0.0625	0.0538793	0.0515759	0.0310786	0.0295567	0.0121065	0.0126183	0.020316	0.0061728	0.0035336	0.0033003	0.0076531	
Mandarin Duck	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024213	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0018519	0.0151515	0.0334029	0.0396975	0.0126984	0.0110906	0.0034188	0.012963	0.0136364	0.0056711	0.0093633	0.0049261	0.0015	0.0108108	0.0060976	0.0015	0.0053763	0.0030769	0.003367	0.013245	0.0261682	0.0254237	0.010582	0.0270936	0.015873	0.013587	0.0150862	0.025788	0.0054845	0.0	0.0	0.0	0.0022573	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.026178	0.0184049	0.0069204	0.009828	0.0133779	0.0146199	0.0243243	0.0311615	0.0292553	0.0403226	0.0230415	0.0611111	0.0656566	0.0730689	0.0378072	0.0174603	0.0110906	0.0051282	0.012963	0.0106061	0.0056711	0.0018727	0.0015	0.0017986	0.0	0.0	0.0	0.0026882	0.0030769	0.020202	0.0033113	0.0280374	0.0190678	0.015873	0.0320197	0.0249433	0.0353261	0.0193966	0.0401146	0.0292505	0.0369458	0.0217918	0.0347003	0.0293454	0.0123457	0.0176678	0.0165017	0.0408163	
Gadwall	0.0471204	0.0306748	0.0242215	0.029484	0.0501672	0.0380117	0.027027	0.0368272	0.0132979	0.0241935	0.0253456	0.0240741	0.0353535	0.0292276	0.0283554	0.0222222	0.0184843	0.0205128	0.0314815	0.0151515	0.020794	0.0262172	0.0123153	0.0143885	0.0081081	0.0121951	0.0107143	0.0107527	0.0215385	0.010101	0.0099338	0.0149533	0.0148305	0.015873	0.0295567	0.015873	0.0380435	0.012931	0.0229226	0.0164534	0.0320197	0.0387409	0.0410095	0.0180587	0.0154321	0.0176678	0.0165017	0.0153061	
Eurasian Wigeon	0.0015	0.0015	0.0034602	0.0	0.0033445	0.002924	0.0	0.0015	0.0053191	0.0	0.0023041	0.0037037	0.0025253	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063559	0.0	0.0	0.0045351	0.0	0.0015	0.0028653	0.0036563	0.0049261	0.0072639	0.0063091	0.0015	0.0030864	0.0015	0.0	0.0015	
American Wigeon	0.052356	0.0521472	0.0553633	0.0614251	0.0267559	0.0321637	0.0324324	0.0424929	0.0425532	0.0672043	0.0437788	0.0592593	0.0782828	0.045929	0.026465	0.0269841	0.0036969	0.0015	0.0018519	0.0015152	0.0018904	0.0037453	0.0024631	0.0017986	0.0054054	0.0	0.0	0.0026882	0.0015	0.0	0.0099338	0.0093458	0.0148305	0.0185185	0.0320197	0.0204082	0.0380435	0.0172414	0.0515759	0.0530165	0.0541872	0.0677966	0.0378549	0.0451467	0.0493827	0.0388693	0.039604	0.0331633	
Mallard	0.2382199	0.2423313	0.1591696	0.1547912	0.180602	0.1929825	0.1972973	0.1898017	0.2739362	0.2688172	0.2465438	0.2685185	0.3661616	0.2860125	0.3194707	0.2984127	0.2735675	0.2581197	0.2351852	0.2424242	0.1606805	0.1535581	0.1551724	0.1456835	0.1432432	0.1615854	0.1642857	0.1747312	0.1969231	0.1851852	0.1721854	0.1738318	0.1927966	0.2010582	0.2980296	0.2380952	0.2472826	0.1831897	0.2808023	0.2468007	0.2463054	0.2808717	0.2649842	0.2460497	0.2592593	0.2402827	0.2442244	0.2244898	
American Black Duck	0.1596859	0.1380368	0.0968858	0.1130221	0.1137124	0.0789474	0.1216216	0.1048159	0.1595745	0.1478495	0.1359447	0.1296296	0.1540404	0.0939457	0.073724	0.0301587	0.0221811	0.0239316	0.037037	0.0318182	0.0245747	0.0205993	0.0369458	0.0323741	0.027027	0.0152439	0.0642857	0.0403226	0.0584615	0.043771	0.0198675	0.046729	0.0275424	0.0502646	0.046798	0.0566893	0.0706522	0.0646552	0.1002865	0.095064	0.1034483	0.1307506	0.1104101	0.1376975	0.1141975	0.130742	0.1452145	0.125	
Mallard x American Black Duck (hybrid)	0.0	0.0	0.0034602	0.0015	0.0015	0.0	0.0027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.005102	
Mallard/American Black Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.013089	0.0245399	0.017301	0.029484	0.0200669	0.0204678	0.027027	0.01983	0.0159574	0.0430108	0.0345622	0.0222222	0.0176768	0.0020877	0.0170132	0.0095238	0.0036969	0.0015	0.0018519	0.0	0.0018904	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0130841	0.0148305	0.010582	0.0172414	0.0136054	0.0108696	0.012931	0.0200573	0.0201097	0.0197044	0.0193705	0.022082	0.0180587	0.0123457	0.0070671	0.0264026	0.0153061	
Green-winged Teal	0.0157068	0.0030675	0.0069204	0.009828	0.0200669	0.0175439	0.0243243	0.0339943	0.0265957	0.0215054	0.0345622	0.0592593	0.0555556	0.0584551	0.0623819	0.0238095	0.0073937	0.0034188	0.0018519	0.0015152	0.0	0.0	0.0	0.0	0.0108108	0.0015	0.0035714	0.0026882	0.0030769	0.0015	0.0099338	0.0280374	0.0338983	0.0238095	0.0344828	0.031746	0.0434783	0.0366379	0.0515759	0.0347349	0.0517241	0.0387409	0.0252366	0.020316	0.0277778	0.0141343	0.019802	0.0102041	
Canvasback	0.0340314	0.0582822	0.0311419	0.022113	0.0200669	0.0175439	0.0108108	0.01983	0.0452128	0.0188172	0.0138249	0.0166667	0.0151515	0.0125261	0.0056711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0027174	0.0	0.0015	0.0015	0.0123153	0.0048426	0.0094637	0.0112867	0.0092593	0.0176678	0.0231023	0.0178571	
Redhead	0.0104712	0.0368098	0.0242215	0.034398	0.0234114	0.0175439	0.0189189	0.0056657	0.037234	0.0322581	0.0138249	0.0055556	0.0025253	0.0041754	0.0037807	0.0047619	0.0036969	0.0017094	0.0074074	0.0136364	0.0037807	0.0037453	0.0024631	0.0015	0.0	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0130841	0.0042373	0.0015	0.0049261	0.0022676	0.0054348	0.0015	0.0015	0.0073126	0.0073892	0.0121065	0.0015	0.0045147	0.0030864	0.0035336	0.0066007	0.002551	
Ring-necked Duck	0.0209424	0.0030675	0.0276817	0.017199	0.0100334	0.0233918	0.0189189	0.0283286	0.0718085	0.0537634	0.0760369	0.0962963	0.1161616	0.0876827	0.0510397	0.0206349	0.0092421	0.0034188	0.0018519	0.0	0.0018904	0.0	0.0015	0.0017986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018692	0.0042373	0.0015	0.0049261	0.0045351	0.0190217	0.0064655	0.017192	0.0127971	0.044335	0.0266344	0.0283912	0.0428894	0.0123457	0.0212014	0.0264026	0.0102041	
Tufted Duck	0.0	0.0015	0.0034602	0.0015	0.0	0.0015	0.0	0.0028329	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035336	0.0	0.0	
Greater Scaup	0.0340314	0.0582822	0.0622837	0.0663391	0.0535117	0.0321637	0.0567568	0.082153	0.0558511	0.0430108	0.0437788	0.0481481	0.040404	0.0417537	0.0245747	0.0063492	0.0036969	0.0034188	0.0074074	0.0	0.0	0.0018727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018692	0.0	0.0079365	0.0024631	0.0045351	0.0190217	0.0107759	0.008596	0.0054845	0.0246305	0.0217918	0.0283912	0.020316	0.0185185	0.0212014	0.0264026	0.0255102	
Lesser Scaup	0.0157068	0.0276074	0.0242215	0.007371	0.0167224	0.0087719	0.0081081	0.0169972	0.0319149	0.016129	0.0230415	0.0351852	0.0656566	0.0354906	0.0226843	0.015873	0.0055453	0.0034188	0.0037037	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0049261	0.0045351	0.013587	0.0107759	0.0143266	0.0073126	0.0172414	0.0242131	0.0094637	0.0045147	0.0015	0.0035336	0.0066007	0.0153061	
Greater/Lesser Scaup	0.0078534	0.006135	0.0015	0.0015	0.0015	0.002924	0.0015	0.0	0.0015	0.0026882	0.0023041	0.0037037	0.0050505	0.0020877	0.0018904	0.0031746	0.0018484	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022676	0.0015	0.0015	0.0028653	0.0	0.0024631	0.0024213	0.0015	0.0015	0.0030864	0.0	0.0015	0.0	
Aythya sp.	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
King Eider	0.0104712	0.0015	0.0034602	0.0015	0.0015	0.0	0.0027027	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0017094	0.0018519	0.0015	0.0018904	0.0	0.0	0.0	0.0015	0.0	0.0035714	0.0026882	0.0	0.003367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024631	0.0015	0.0	0.0	0.0015	0.0015	0.009901	0.0015	
Common Eider	0.0209424	0.0015	0.0015	0.007371	0.0015	0.0015	0.0015	0.0028329	0.0106383	0.0015	0.0015	0.0018519	0.0	0.0	0.0	0.0	0.0	0.0	0.0074074	0.0015152	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024631	0.0	0.0	0.0021552	0.0	0.0	0.0024631	0.0024213	0.0031546	0.0015	0.0015	0.0	0.0066007	0.0076531	
Harlequin Duck	0.0078534	0.0	0.0034602	0.002457	0.0015	0.002924	0.0	0.0084986	0.0079787	0.0015	0.0023041	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045147	0.0030864	0.0	0.0033003	0.005102	
Surf Scoter	0.0418848	0.006135	0.0034602	0.007371	0.006689	0.002924	0.0027027	0.0056657	0.0106383	0.0107527	0.0015	0.0015	0.0015	0.0020877	0.0018904	0.0015873	0.0018484	0.0	0.0074074	0.0015	0.0018904	0.0	0.0024631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081522	0.0015	0.0057307	0.0054845	0.0172414	0.0072639	0.0063091	0.013544	0.0061728	0.0035336	0.009901	0.0204082	
White-winged Scoter	0.0445026	0.0122699	0.0103806	0.009828	0.0267559	0.0116959	0.0081081	0.0254958	0.0239362	0.0026882	0.0069124	0.0148148	0.0151515	0.0041754	0.0018904	0.0015	0.0015	0.0015	0.0055556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0018692	0.0	0.0026455	0.0015	0.0022676	0.0027174	0.0015	0.0057307	0.0127971	0.0221675	0.0121065	0.0157729	0.0225734	0.0185185	0.0070671	0.0165017	0.0229592	
Black Scoter	0.0314136	0.006135	0.0015	0.007371	0.0015	0.002924	0.0015	0.0028329	0.0106383	0.0015	0.0015	0.0015	0.0	0.0015	0.0018904	0.0	0.0018484	0.0	0.0111111	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018692	0.0	0.0015	0.0	0.0	0.0	0.0021552	0.0015	0.0091408	0.0049261	0.0024213	0.0031546	0.0090293	0.0030864	0.0035336	0.009901	0.0102041	
