









Frequency of observations in the selected location(s).:
Number of taxa: 	589

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6156.0	4179.0	4018.0	4671.0	3434.0	3131.0	9354.0	3852.0	4199.0	4534.0	4234.0	6298.0	4682.0	5551.0	5646.0	6615.0	6495.0	5918.0	5401.0	5214.0	3408.0	3237.0	3321.0	3616.0	2601.0	2578.0	2273.0	3639.0	2698.0	2673.0	3045.0	4455.0	3823.0	3325.0	3490.0	4536.0	3412.0	3647.0	3608.0	4992.0	3551.0	3384.0	3243.0	4146.0	3151.0	3060.0	3320.0	5053.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0021984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.02859	0.0210577	0.014435	0.0162706	0.0221316	0.0162887	0.0098354	0.038162	0.051679	0.0771945	0.0455834	0.0495395	0.0183682	0.0079265	0.0063762	0.004384	0.004157	0.0081108	0.0077763	0.0055619	0.0032277	0.0018536	0.0015056	0.0024889	0.0011534	0.0027153	0.0026397	0.0024732	0.0018532	0.0018706	0.0019704	0.0	7.847E-4	0.0	0.0022923	0.0068342	0.010551	0.0131615	0.0210643	0.0190304	0.0208392	0.0144799	0.013876	0.0265316	0.048556	0.0444444	0.0355422	0.0174154	
Ross's Goose	1.624E-4	0.0	0.0	0.0014986	0.0058241	0.0	1.069E-4	7.788E-4	0.0023815	0.00397	9.447E-4	0.001429	2.136E-4	0.0	8.856E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.596E-4	0.0	5.862E-4	8.226E-4	2.772E-4	0.0040064	0.0042242	0.0032506	0.0012334	2.412E-4	0.0015868	0.0022876	0.0018072	9.895E-4	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.955E-4	0.0	2.412E-4	3.174E-4	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	4.873E-4	4.786E-4	0.001991	4.282E-4	0.0011648	9.582E-4	5.345E-4	5.192E-4	9.526E-4	4.411E-4	4.724E-4	6.351E-4	0.0010679	3.603E-4	7.085E-4	9.07E-4	4.619E-4	1.69E-4	1.852E-4	1.918E-4	0.0	3.089E-4	3.011E-4	0.0	3.845E-4	0.0	4.399E-4	5.496E-4	3.706E-4	0.0011223	9.852E-4	6.734E-4	0.0020926	3.008E-4	0.0014327	4.409E-4	0.0011723	8.226E-4	0.0019401	6.01E-4	0.0033793	0.001773	0.0012334	2.412E-4	9.521E-4	3.268E-4	9.036E-4	0.0	
Swan Goose	0.0	2.393E-4	4.978E-4	0.0	0.0	9.582E-4	2.138E-4	0.0	2.382E-4	0.0	0.0	0.0	0.0	0.0	1.771E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.089E-4	0.0	2.765E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.245E-4	2.616E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.955E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.002924	0.004068	0.0032354	0.0032113	0.0032033	0.0031939	9.622E-4	0.001298	9.526E-4	0.0035289	2.362E-4	0.001429	2.136E-4	0.0015	0.0	0.0	3.079E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.284E-4	0.0	0.0	0.0	0.0	2.205E-4	0.0	2.742E-4	0.0038803	0.0046074	0.0036609	0.0023641	0.0018501	0.0016884	0.0015868	0.0019608	0.0021084	0.0017811	
Pink-footed Goose	0.0015	0.0	0.0	2.141E-4	0.0	0.0	1.069E-4	0.001298	0.0014289	0.0	0.002598	0.0015878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.176E-4	0.0	1.801E-4	5.313E-4	6.047E-4	7.698E-4	5.069E-4	1.852E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.205E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.979E-4	
Brant	0.0646524	0.0624551	0.0627178	0.0657247	0.0620268	0.0558927	0.0383793	0.0952752	0.0669207	0.037715	0.0609353	0.0479517	0.0557454	0.0430553	0.045519	0.0383976	0.0361817	0.0398783	0.0320311	0.0257	0.01027	0.0058696	0.0045167	0.0024889	0.0011534	0.0027153	0.0039595	0.0057708	0.0085248	0.0059858	0.0062397	0.0044893	0.0034005	0.0018045	0.0011461	0.0026455	0.0252052	0.0444201	0.0568182	0.0945513	0.0819487	0.0591017	0.0662966	0.063917	0.0577594	0.0535948	0.0704819	0.0750049	
Snow Goose x Brant (hybrid)	1.624E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.174E-4	0.0	0.0	0.0	
Barnacle Goose	0.0021118	0.004068	0.0022399	0.0014986	0.0011648	3.194E-4	9.622E-4	5.192E-4	4.763E-4	0.0	0.0	3.176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048077	0.0	0.0023641	9.251E-4	0.0041003	0.0060298	0.0022876	0.0054217	0.0021769	
Cackling Goose	0.0063353	0.004068	0.0034843	0.0042817	0.0040769	0.0031939	7.483E-4	0.0049325	0.0088116	0.0165417	0.005196	0.0047634	8.543E-4	0.0	1.771E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.865E-4	8.818E-4	0.0020516	0.0030162	0.008592	0.0072115	0.0118277	0.0097518	0.0104841	0.0082007	0.0104729	0.0101307	0.0090361	0.0043538	
Canada Goose	0.3276478	0.3366834	0.3222997	0.3207022	0.3433314	0.3094858	0.1939277	0.4330218	0.4441534	0.5196295	0.4721304	0.488409	0.4698847	0.4700054	0.4716614	0.4578987	0.443572	0.3987834	0.3758563	0.3519371	0.3189554	0.20173	0.1610961	0.1487832	0.1534025	0.1815361	0.2314122	0.2561143	0.2702001	0.2772166	0.2748768	0.2538721	0.278577	0.3296241	0.3507163	0.3957231	0.3895076	0.428023	0.421286	0.4354968	0.4415658	0.3829787	0.3786617	0.3692716	0.390987	0.3539216	0.3427711	0.3227785	
Swan Goose x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.512E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.245E-4	2.616E-4	0.0	0.0	0.0	2.931E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Greater White-fronted x Canada Goose (hybrid)	1.624E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
